"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000420343270014988,0.00195282265364205,-0.00350822917844599,0.00434891571847597
-15,-0.00176397488158272,0.00184258568517336,-0.00547077915446449,0.00194282939129904
-14,0.00126448797072667,0.00136920135462231,-0.00148998986582071,0.00401896580727405
-13,0.000297811241095393,0.00165821623596514,-0.00303808954132015,0.00363371202351094
-12,7.6251351424021e-05,0.00156932027074534,-0.00308081381625174,0.00323331651909978
-11,0.00187272222588808,0.00139781951741698,-0.000939327928181838,0.004684772379958
-10,0.00258923752640417,0.00178064338309008,-0.000992954907862973,0.00617142996067131
-9,-0.000146820185707596,0.00143987339560947,-0.00304347183029681,0.00274983145888162
-8,0.000606226747359704,0.00183439414753214,-0.00308409827737948,0.00429655177209888
-7,0.00172764854974501,0.00189840559782616,-0.00209145090289324,0.00554674800238327
-6,0.00359897657901537,0.00143147068510594,0.000719229007571241,0.0064787241504595
-5,0.000469693601269932,0.00255191718433952,-0.00466410158614907,0.00560348878868893
-4,-0.000573062368559801,0.00164511200865668,-0.0038826008459978,0.0027364761088782
-3,0.000131303985928785,0.00227377281676167,-0.00444293690856811,0.00470554488042567
-2,0.00155234212637546,0.00181704738602509,-0.00210308571545799,0.00520776996820891
-1,0,NA,0,0
0,0.001199429949453,0.0020054630690223,-0.00283504135528799,0.00523390125419399
1,0.00226287265607017,0.00214571806006902,-0.00205375529641232,0.00657950060855266
2,-0.00089018054114221,0.00178299565210759,-0.00447710513029107,0.00269674404800665
3,-0.000345381750272985,0.00143489463964809,-0.00323201742978673,0.00254125392924076
4,0.00249058457825975,0.0012175212322177,4.12477890812256e-05,0.00493992136743828
5,0.00238626695671341,0.00222821141724065,-0.00209631622450482,0.00686885013793165
6,0.00171919075584275,0.00288150212076595,-0.00407764380090036,0.00751602531258585
7,0.000859530361746384,0.00224257101380771,-0.00365194060164661,0.00537100132513938
8,9.70321704730811e-05,0.00298571459025154,-0.00590945083317001,0.00610351517411617
