"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0675122041281638,0.142896849342253,-0.354983585234313,0.219959176977985
-15,-0.074305289748122,0.0733519861748998,-0.221870452098714,0.0732598726024696
-14,-0.115529144258699,0.077366842040411,-0.271171154810725,0.0401128662933271
-13,-0.0475443180138502,0.0975079170396256,-0.243704945131866,0.148616309104165
-12,-0.0714187280339686,0.0805874977585898,-0.23353986217503,0.0907024061070931
-11,-0.169223845899455,0.11841694846308,-0.407448018634882,0.0690003268359726
-10,-0.0517688301530909,0.105206128812427,-0.263416261777723,0.159878601471541
-9,-0.135071006913386,0.118447640043906,-0.373356923145392,0.10321490931862
-8,-0.133408948646588,0.0883333080869286,-0.311112643236835,0.04429474594366
-7,-0.121055322540245,0.0944520833077882,-0.311068405136702,0.0689577600562112
-6,-0.166243857940193,0.105779587975646,-0.379044940596443,0.0465572247160569
-5,-0.136601724084627,0.0905115174409754,-0.318687410679796,0.045483962510541
-4,-0.148356806974085,0.100015815410546,-0.349562674849198,0.0528490609010285
-3,-0.167774305100832,0.087374469559248,-0.343549065378819,0.00800045517715545
-2,-0.0724989955766246,0.0645777191593056,-0.202412609493663,0.0574146183404134
-1,0,NA,0,0
0,0.00354815898444905,0.0690200113266325,-0.135302194059425,0.142398512028323
1,-0.0367868391351033,0.0796801720118308,-0.19708266931226,0.123508991042053
2,-0.0668625574967301,0.100178290670986,-0.26839528343575,0.13467016844229
3,-0.0557485507525393,0.0950441870689985,-0.246952792473754,0.135455690968676
4,-0.17658634485912,0.109956027442628,-0.397789339994237,0.0446166502759968
5,-0.14569168316026,0.0946854806012897,-0.336174300547849,0.0447909342273282
6,-0.0886940323124675,0.0856996144411741,-0.261099418694798,0.083711354069863
7,-0.144703642867509,0.10993705521309,-0.365868470799828,0.0764611850648093
8,-0.186826663775109,0.115280901766446,-0.418741924317969,0.0450885967677518
