"state","beta_lt","se_lt","beta_pre","se_pre","n_obs","n_machines_pre","mean_pre","law_date","ci_lo","ci_hi","label"
"LA",-0.0234639833255683,0.00215495311198821,-0.00548643833232645,0.00161599481401301,280355,780,0.102898550724638,2023-01-01,-0.0276876914250652,-0.0192402752260714,"LA (Jan'23, N=  780)"
"UT",-0.0389354458571049,0.0014317386733025,0.00388513948805457,0.00152954818985,255680,307,0.125450180072029,2023-05-01,-0.0417416536567778,-0.036129238057432,"UT (May'23, N=  307)"
"MS",-0.0604317159706229,0.00273253896666325,0.0124851623310009,0.00136013743064579,242746,355,0.136883189294675,2023-06-29,-0.0657874923452829,-0.0550759395959629,"MS (Jun'23, N=  355)"
"VA",-0.0424040873450392,0.00276210568622456,-0.00217282554975241,0.00137406575762986,251347,820,0.117409337445496,2023-06-29,-0.0478178144900393,-0.036990360200039,"VA (Jun'23, N=  820)"
"AR",-0.0250196782751267,0.00159373397417672,0.00275555140623717,0.001965599774776,236748,409,0.126367232953223,2023-07-28,-0.028143396864513,-0.0218959596857403,"AR (Jul'23, N=  409)"
"MT",-0.0466354436727528,0.0020343955446158,0.00121386212734773,0.00144970585104915,207743,109,0.127917026793431,2023-12-28,-0.0506228589401997,-0.0426480284053058,"MT (Dec'23, N=  109)"
"NC",-0.0515425409119411,0.00199968003787479,-0.000415707863427863,0.00142726737094896,221932,954,0.113244323165383,2023-12-28,-0.0554619137861757,-0.0476231680377065,"NC (Dec'23, N=  954)"
"TX",-0.058139920789557,0.00338011215348312,-0.00396586197609424,0.0020192872312033,236173,2267,0.12492226045856,2024-03-14,-0.0647649406103839,-0.0515149009687301,"TX (Mar'24, N=2,267)"
"ID",-0.0280879273879972,0.00184235130215737,-0.00632189726433297,0.00139950541108825,197873,128,0.143487858719647,2024-06-28,-0.0316989359402257,-0.0244769188357688,"ID (Jun'24, N=  128)"
"IN",-0.0145895015366949,0.00183685364289954,0.00556243452785532,0.00140438728878413,206065,639,0.137296318648159,2024-06-28,-0.018189734676778,-0.0109892683966118,"IN (Jun'24, N=  639)"
"KS",-0.0321235891633511,0.00183884265981078,0.00397864830298523,0.00141455390168712,198188,157,0.136450992953235,2024-06-28,-0.0357277207765803,-0.028519457550122,"KS (Jun'24, N=  157)"
"KY",-0.0425083939999458,0.00234678873805787,-0.0153618079704222,0.00202405485156638,202510,400,0.121204516938519,2024-07-10,-0.0471080999265392,-0.0379086880733523,"KY (Jul'24, N=  400)"
"NE",-0.0507402315528393,0.00203597620811901,0.00746596166766512,0.00176136201538936,199205,161,0.147610405323654,2024-07-15,-0.0547307449207526,-0.0467497181849261,"NE (Jul'24, N=  161)"
"AL",-0.0183566995885207,0.00250015201368876,0.0151640160588617,0.0026641143030141,214745,603,0.115913874048891,2024-09-26,-0.0232569975353507,-0.0134564016416908,"AL (Sep'24, N=  603)"
"OK",-0.0257939561357527,0.0015239497112828,0.00619416327612946,0.00153949802020373,217921,519,0.147398297067171,2024-11-01,-0.028780897569867,-0.0228070147016384,"OK (Nov'24, N=  519)"
