"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000484503018816642,0.00228040183523096,-0.00410307374070119,0.00507207977833447
-15,0.000261042558425528,0.00116662293144319,-0.00208590005700492,0.00260798517385597
-14,-0.000190239989803638,0.00252796733674984,-0.00527585429852884,0.00489537431892156
-13,0.00257793938064452,0.00254891298889758,-0.00254981214509277,0.0077056909063818
-12,0.000143083658213611,0.00179512025146302,-0.00346823247867131,0.00375439979509854
-11,0.00438391613782458,0.00183574188672724,0.000690879811544671,0.00807695246410449
-10,-0.00159301160281711,0.00179764192784209,-0.00520940069823632,0.0020233774926021
-9,-0.00136721247260726,0.00200880407444397,-0.00540840501331162,0.00267398006809711
-8,0.00188551415557248,0.00177816666365876,-0.00169169576187354,0.00546272407301849
-7,0.00222810578623869,0.00175186575524448,-0.00129619352820242,0.00575240510067979
-6,0.00473824267905823,0.00170657838338847,0.00130504980534019,0.00817143555277627
-5,0.00470278432961837,0.00297179239758201,-0.00127569083499148,0.0106812594942282
-4,0.00471971914708522,0.00277108852693392,-0.00085499190967949,0.0102944302038499
-3,0.00438764823406732,0.00213517155763172,9.22371078160974e-05,0.00868305936031855
-2,0.00202181280115998,0.00225486567927775,-0.00251439183886185,0.00655801744118181
-1,0,NA,0,0
0,0.00339717327596088,0.00172868717663095,-8.04967528327308e-05,0.00687484330475449
1,-0.000185375412409599,0.00217414558007909,-0.0045591921586012,0.004188441333782
2,0.00026706772291113,0.00251909154808844,-0.00480069080217263,0.00533482624799489
3,-0.000812757168382999,0.00193943198534447,-0.00471439106692381,0.00308887673015782
4,-0.00130087460490184,0.00257567040549368,-0.00648245510964824,0.00388070589984457
5,-0.00289317437537814,0.0037108671999169,-0.0103584762625219,0.00457212751176563
6,-0.00240104484255083,0.00446179603586425,-0.0113770206918978,0.00657493100679615
7,-0.00121706946204108,0.00325268007889454,-0.00776061775495495,0.00532647883087278
8,-0.000486824758549276,0.00343761513614561,-0.00740241439854405,0.0064287648814455
