"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0612277122598923,0.0518013866287118,-0.165438660408251,0.0429832358884664
-15,-0.0265643618081334,0.111931581230214,-0.251741658534789,0.198612934918522
-14,-0.00993187110920474,0.119658806096441,-0.250654339157949,0.230790596939539
-13,0.0518589800628089,0.0931726615126201,-0.135580237874159,0.239298197999777
-12,0.04253845781468,0.113030087645786,-0.184848748772773,0.269925664402133
-11,0.186804108461724,0.0999777037773981,-0.0143250886969411,0.387933305620389
-10,0.0945979559529874,0.107895327906856,-0.122459446439392,0.311655358345367
-9,0.0423232449814755,0.045970507179257,-0.0501574867477408,0.134803976710692
-8,-0.0548782349613557,0.0581287349845253,-0.171818166141586,0.0620616962188745
-7,0.152026118855304,0.087138354997426,-0.0232736401927844,0.327325877903393
-6,-0.0193756010668127,0.0439867911291167,-0.107865610850226,0.0691144087166005
-5,0.00191881499865809,0.102742987001407,-0.204773414453682,0.208611044450998
-4,-0.0910371416343084,0.0462863637354184,-0.184153294794082,0.0020790115254649
-3,-0.0794784620565268,0.0883808481703811,-0.257277794958682,0.0983208708456281
-2,-0.0717988180203739,0.0718902356806835,-0.216423317680786,0.0728256816400384
-1,0,NA,0,0
0,-0.0228623308108509,0.0856495687940586,-0.195167038337343,0.149442376715641
1,-0.0233436660779603,0.0813798869001507,-0.18705888155774,0.140371549401819
2,-0.0193779850919379,0.0718922529597468,-0.164006542994369,0.125250572810493
3,-0.0239141331624698,0.0623484721225324,-0.149343080500519,0.10151481417558
4,-0.0312200255436761,0.0769630315593321,-0.186049674191047,0.123609623103695
5,-0.063274233214323,0.0781748003000026,-0.220541646130572,0.0939931797019262
6,-0.137120845903734,0.0552869935156877,-0.248343930641558,-0.0258977611659102
7,-0.106692010370133,0.0725092001383664,-0.252561705906625,0.0391776851663581
8,-0.0586171816973539,0.0962499045397697,-0.252247014102631,0.135012650707923
