"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000519023223636768,0.00264309681992756,-0.00583624817799534,0.00479820173072181
-15,-0.00373206750703072,0.00286864295569205,-0.00950303276042191,0.00203889774636046
-14,-0.00278711451861264,0.00215755007241324,-0.00712754540968694,0.00155331637246166
-13,-0.00132900788725475,0.00384469921595055,-0.00906354506308753,0.00640552928857804
-12,-0.000668156899647296,0.00245590300360121,-0.00560879646978247,0.00427248267048788
-11,-0.000960940474574224,0.00257333637857927,-0.00613782552281678,0.00421594457366833
-10,-0.00177667230677139,0.00323408611573524,-0.00828281437068691,0.00472946975714413
-9,0.000912885265797574,0.00256411192592014,-0.00424544257731363,0.00607121310890878
-8,-0.00207440976925145,0.00412720435605522,-0.0103772739807697,0.0062284544422668
-7,-0.000258942767327402,0.00296508731258739,-0.00622392904080556,0.00570604350615076
-6,-0.000592310363086241,0.00340203717169913,-0.00743632637060802,0.00625170564443553
-5,-0.00105596868078439,0.00343307650561391,-0.00796242777386171,0.00585049041229292
-4,0.000799538789554281,0.00217002394730779,-0.00356598630100859,0.00516506388011715
-3,0.00200791619022246,0.00481888759113231,-0.00768643520796804,0.011702267588413
-2,-0.00298066983880176,0.00332826914260416,-0.00967628371357518,0.00371494403597167
-1,0,NA,0,0
0,-0.000144842697763479,0.002627309990023,-0.0054303086468197,0.00514062325129274
1,-0.00138476111067361,0.00334171882111384,-0.00810743224860159,0.00533791002725437
2,-0.00314455448284599,0.00441303954617866,-0.0120224449265852,0.00573333596089324
3,-0.00272739511908253,0.00341036326770259,-0.00958816107125565,0.00413337083309059
4,-0.00288249713382697,0.0025770888507857,-0.00806693118243385,0.00230193691477991
5,-0.00233501977608889,0.0039058087188931,-0.0101924934147651,0.0055224538625873
6,-0.00215383126036644,0.00308922237660341,-0.00836854507130007,0.00406088255056718
7,-0.000481578979777729,0.00364058403873316,-0.00780548938413517,0.00684233142457971
8,-0.00434645750649809,0.0032308578391562,-0.01084610511563,0.00215319010263384
