"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.051492285586161,0.0222684390967965,-0.0962906066947104,-0.00669396447761172
-15,-0.0745062446019105,0.0278507077412683,-0.130534641701067,-0.0184778475027538
-14,-0.0311533373014625,0.0301166036538004,-0.0917401290077546,0.0294334544048295
-13,-0.01921812763051,0.0408311653422781,-0.10135983717237,0.0629235819113495
-12,-0.00422718142663956,0.0304459884857786,-0.0654766099440302,0.0570222470907511
-11,-0.0124755314896348,0.0486475280385021,-0.110341734537494,0.0853906715582246
-10,0.00350121195599733,0.0441222571388948,-0.0852613202875198,0.0922637441995144
-9,0.0553134056595437,0.0370983341313912,-0.0193188161044596,0.129945627423547
-8,0.00109122317719294,0.0498970407837043,-0.0992886752826113,0.101471121636997
-7,0.0247939201310638,0.0493187178758631,-0.0744225427050183,0.124010382967146
-6,0.000259751441629257,0.0395697240558191,-0.0793442655585694,0.0798637684418279
-5,-0.000521088213312149,0.0592708418607093,-0.119758642067371,0.118716465640747
-4,0.0224696553512408,0.0409537796318914,-0.0599187223245961,0.104858033027078
-3,0.012757414648156,0.0405714854975126,-0.0688618864293898,0.0943767157257017
-2,-0.028533173460261,0.0380253082469835,-0.10503022660778,0.0479638796872583
-1,0,NA,0,0
0,-0.0327343453452365,0.0316644652616208,-0.0964350329576278,0.0309663422671548
1,-0.00755255149840509,0.0415132106930108,-0.0910663593045347,0.0759612563077245
2,0.00234330037112886,0.039243698830052,-0.0766048384738961,0.0812914392161538
3,-0.0108622357215111,0.0409519679426305,-0.0932469687486633,0.0715224973056412
4,-0.0189659531672015,0.0290918266888492,-0.0774911595355644,0.0395592532011614
5,-0.00810328987112986,0.0428692417621045,-0.0943450803168315,0.0781385005745718
6,0.0297459760580974,0.0485053703352325,-0.0678342425787558,0.127326194694951
7,0.0121980287841821,0.0587856835978717,-0.106063512536956,0.13045957010532
8,-0.0167675879765644,0.0451164384529065,-0.107530155047472,0.0739949790943432
