"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000834178749477108,0.00346837812768883,-0.0061432980469287,0.00781165554588292
-15,0.00365834912178301,0.00384863722993903,-0.00408411031633403,0.0114008085599001
-14,0.00476209727063092,0.0045376650403853,-0.0043665073288474,0.0138907018701092
-13,0.00341115551383802,0.00288665034315053,-0.00239603593044983,0.00921834695812586
-12,0.00298965392013639,0.00460073972875202,-0.00626584058532014,0.0122451484255929
-11,0.00409179121726741,0.00394919926871652,-0.00385297294840158,0.0120365553829364
-10,-0.00100674507495968,0.00500675206883357,-0.0110790310540325,0.00906554090411313
-9,0.000130172103876268,0.00485991666097144,-0.00964671913635026,0.0099070633441028
-8,0.0051085075578299,0.0042170298681158,-0.00337506227546715,0.0135920773911269
-7,0.00589075419627435,0.00477563273921869,-0.00371657966390615,0.0154980880564548
-6,0.00260764681728434,0.0043483073743613,-0.00614001929386818,0.0113553129284369
-5,0.0028766709771086,0.00465474860782285,-0.00648747537847586,0.0122408173326931
-4,0.000897992089440951,0.00528466131347998,-0.00973337517622708,0.011529359355109
-3,0.00233214201278744,0.00570078252451872,-0.00913635315174952,0.0138006371773244
-2,0.00274503121642729,0.00423532566261231,-0.00577534500788926,0.0112654074407438
-1,0,NA,0,0
0,0.00134178323871844,0.0034240265657327,-0.00554646972365302,0.00823003620108991
1,0.00147979759415762,0.00478775776206291,-0.0081519286657085,0.0111115238540237
2,0.00280611532042456,0.00431684479310478,-0.00587825624134771,0.0114904868821968
3,0.000739364094924822,0.00340206162041355,-0.00610470109706624,0.00758342928691589
4,0.00244245795988533,0.00402884924426963,-0.00566254128852143,0.0105474572082921
5,0.00491746632340522,0.00443047036599402,-0.0039954904067441,0.0138304230535545
6,0.00188755132747283,0.00366511646889847,-0.00548571196054841,0.00926081461549406
7,-0.00347531237937523,0.00462985342552369,-0.0127893760881318,0.00583875132938132
8,0.00136212573730664,0.00416892986373116,-0.00702467936845924,0.00974893084307251
