"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000492197214030648,0.00169309836361974,-0.00389827178585405,0.00291387735779275
-15,0.00208416223823138,0.00186988419462356,-0.00167755955207579,0.00584588402853856
-14,0.0011970881806837,0.00151454254968876,-0.00184977842629276,0.00424395478766016
-13,0.00073052748580388,0.00196785111150558,-0.00322827832020005,0.00468933329180781
-12,0.00254500842301803,0.00192701479202821,-0.00133164530466165,0.00642166215069771
-11,0.00255972611640331,0.00217557842399906,-0.00181697313995196,0.00693642537275858
-10,0.000714743378486352,0.001679103052051,-0.00266317625805194,0.00409266301502465
-9,0.000908874669483647,0.00194340599399125,-0.00300075390325381,0.0048185032422211
-8,-0.000210580703750385,0.00167070469624362,-0.00357160502766225,0.00315044362016148
-7,-0.000678056450886256,0.00189925015287823,-0.00449885492913883,0.00314274202736632
-6,0.00221677525582174,0.00135171761376031,-0.000502529830902005,0.00493608034254548
-5,0.00239077461714415,0.00224706437800974,-0.00212973582905702,0.00691128506334531
-4,-0.000550714775497495,0.00146589541592607,-0.00349971597260672,0.00239828642161173
-3,-1.96897118020779e-05,0.00144449600245202,-0.0029256408418555,0.00288626141825135
-2,0.000558802783729239,0.00180061776768113,-0.00306357292925654,0.00418117849671501
-1,0,NA,0,0
0,-0.00112030370778731,0.00189801732746269,-0.00493862206120511,0.00269801464563049
1,0.000897846233148896,0.00228021956126664,-0.00368936383845032,0.00548505630474811
2,0.00063410737414962,0.00237586720255126,-0.00414552093246455,0.00541373568076379
3,-0.00032708900937541,0.00201554919036113,-0.00438185097304013,0.00372767295428931
4,0.00176580409064415,0.00257490217484489,-0.00341423093338221,0.00694583911467051
5,0.00116739916088732,0.00141601370001478,-0.0016812529674288,0.00401605128920345
6,0.000691195534828565,0.00211419476772149,-0.00356201573331225,0.00494440680296938
7,0.000117757424754984,0.00236072632021042,-0.00463141135544051,0.00486692620495048
8,8.02386908603096e-05,0.00227811947774532,-0.00450274655763685,0.00466322393935747
