"rel_week","beta","se","ci_lo","ci_hi"
-16,0.0425854501226104,0.0189024047435844,0.00455871669302396,0.0806121835521969
-15,0.0239278084506521,0.0136737518536834,-0.00358023212809023,0.0514358490293944
-14,0.039397139281686,0.0208891710852341,-0.00262645248871175,0.0814207310520838
-13,0.0210452699502402,0.0168077169291919,-0.0127674951395169,0.0548580350399972
-12,0.0350454395287674,0.0223926411701478,-0.010002743922632,0.0800936229801668
-11,0.0408358177044478,0.0208975879314743,-0.0012047065765293,0.0828763419854248
-10,0.0274325672690786,0.0214873549335333,-0.0157944151836015,0.0706595497217588
-9,0.0121950848085159,0.0166037079727167,-0.0212072671983362,0.045597436815368
-8,0.00340475989550435,0.0162732995902739,-0.0293328961823116,0.0361424159733203
-7,0.0143308648967034,0.0155380046087895,-0.0169275684773182,0.0455892982707249
-6,0.0167544895866958,0.0165599543359797,-0.0165598414565095,0.050068820629901
-5,0.0376919384692303,0.0182377807297641,0.00100225609464378,0.0743816208438168
-4,0.0400483135216301,0.0152145285799644,0.00944062998001636,0.0706559970632439
-3,0.0244563318081475,0.0174366761481349,-0.0106217360238409,0.059534399640136
-2,0.0119505779395866,0.0174541669138722,-0.0231626767744518,0.0470638326536251
-1,0,NA,0,0
0,0.00963044729489813,0.0103141856623248,-0.0111190178681313,0.0303799124579276
1,0.0177600239300941,0.0155986870662856,-0.0136204868021451,0.0491405346623333
2,0.0179679456367239,0.0209009780618283,-0.0240793987068331,0.060015289980281
3,0.0376566807170041,0.0248292625267073,-0.0122933526340053,0.0876067140680135
4,0.0383604856975512,0.0223701902732283,-0.00664253237494562,0.083363503770048
5,0.030101232857937,0.0240112673010916,-0.0182032063576638,0.0784056720735377
6,-0.0131419289523288,0.0175473853639815,-0.048442714999079,0.0221588570944214
7,-0.0141253409751021,0.0198142578064827,-0.0539864861538897,0.0257358042036855
8,0.0116176135849701,0.0186918068618189,-0.025985451553763,0.0492206787237031
