"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.445676712348878,0.355329962035576,-1.16050839271791,0.26915496802015
-15,-0.266198090541352,0.193469975621986,-0.655409478690411,0.123013297607706
-14,-0.149276049356184,0.246086049848772,-0.644337325700681,0.345785226988313
-13,-0.187033595840728,0.187585526764218,-0.564406999821645,0.190339808140189
-12,-0.427758865587039,0.253660034276156,-0.938057033254464,0.0825393020803862
-11,0.122311002969794,0.21230333038745,-0.304788207970394,0.549410213909983
-10,-0.400217965418923,0.221539655857482,-0.845898266505168,0.0454623356673231
-9,-0.429396788973745,0.210590421011048,-0.853050070725079,-0.00574350722241096
-8,-0.71355397589605,0.189135737099975,-1.09404600081421,-0.333061950977889
-7,-0.261133826635033,0.233129718037295,-0.730130325365057,0.207862672094991
-6,-0.255584478817196,0.258879885979588,-0.776383633632075,0.265214675997682
-5,-0.505740611692807,0.161420769416341,-0.830477313285091,-0.181003910100524
-4,0.14256967897626,0.249246608514209,-0.358849821281517,0.643989179234038
-3,-0.106027809320029,0.141737197913404,-0.391166272664957,0.179110654024899
-2,-0.287707638389174,0.206104580689032,-0.702336573426585,0.126921296648236
-1,0,NA,0,0
0,-0.291378208589358,0.194651378095484,-0.682966271957373,0.100209854778657
1,-1.18525368363676,0.188269842585815,-1.56400375348016,-0.806503613793347
2,-1.38514371311423,0.21030437255816,-1.808221539604,-0.962065886624464
3,-1.53421473276961,0.184091090603705,-1.90455823795378,-1.16387122758544
4,-1.77141724912334,0.243494536216944,-2.2612650725028,-1.28156942574387
5,-1.62389688170225,0.251880226597155,-2.13061453815518,-1.11717922524932
6,-1.60908885878379,0.238611738578908,-2.08911376033447,-1.1290639572331
7,-1.64800129077329,0.243871623421844,-2.13860771576006,-1.15739486578652
8,-1.96475892202544,0.251966533607515,-2.47165020578773,-1.45786763826315
