"rel_week","beta","se","ci_lo","ci_hi"
-16,0.01025250895398,0.00319220416260456,0.00383062251197158,0.0166743953959884
-15,0.00843125205263065,0.00350048510113494,0.00138918435697006,0.0154733197482912
-14,0.00957843309227411,0.00347418467934717,0.00258927502065216,0.0165675911638961
-13,0.0072483423236197,0.00278479730271882,0.00164605276721488,0.0128506318800245
-12,0.00531160032979439,0.00335233110931133,-0.00143241997824385,0.0120556206378326
-11,0.00886802834674092,0.00287474775259091,0.00308478182610019,0.0146512748673817
-10,0.00734783723020723,0.00198933824556225,0.00334580488609755,0.0113498695743169
-9,0.00418815337447266,0.00261177271159434,-0.00106605560209552,0.00944236235104083
-8,0.00440743582527012,0.00396993437593805,-0.00357904199565294,0.0123939136461932
-7,0.00573634401673692,0.00229854625389064,0.00111226539510333,0.0103604226383705
-6,-0.000417517423404459,0.00271762939186293,-0.0058846825723179,0.00504964772550898
-5,0.00142384670847734,0.00275279968053575,-0.00411407193503879,0.00696176535199346
-4,0.00303421468293577,0.00465862899298363,-0.00633773800068551,0.012406167366557
-3,0.00902622058676436,0.00417395826057964,0.000629299651339271,0.0174231415221894
-2,0.0100873807105922,0.00472250021071476,0.00058693571059998,0.0195878257105844
-1,0,NA,0,0
0,0.0029696229959274,0.00369798535838675,-0.0044697639687187,0.0104090099605735
1,0.00736741298270024,0.00246130996467413,0.00241589600991852,0.012318929955482
2,0.00464144037009219,0.00232074655292899,-2.72994925337531e-05,0.00931018023271813
3,0.0100317485994068,0.00320516791459166,0.00358378245231598,0.0164797147464976
4,0.00279017725488812,0.00389251288724135,-0.00504054862059053,0.0106209031303668
5,0.00851147218299481,0.00479231422409927,-0.00112942049614912,0.0181523648621387
6,0.00429446911331554,0.00427634185450141,-0.00430842104594322,0.0128973592725743
7,0.0108317503837345,0.00367020169669059,0.00344825693694229,0.0182152438305267
8,0.00647876334097974,0.00298786591669592,0.000467952426770222,0.0124895742551893
