"rel_week","beta","se","ci_lo","ci_hi"
-16,0.0231506666471309,0.109213862674541,-0.196559285556163,0.242860618850425
-15,0.00507477410684707,0.0791933450311377,-0.154241686510072,0.164391234723767
-14,-0.0285279072726386,0.0905812014263211,-0.210753779964285,0.153697965419008
-13,0.0253059178795648,0.0871941722339497,-0.150106130964603,0.200717966723732
-12,-0.00120291415844111,0.0584355463452255,-0.118760070183065,0.116354241866182
-11,-0.0420178308356604,0.0732226022813911,-0.189322706365856,0.105287044694536
-10,0.0389452539215971,0.0739794042691549,-0.109882110828255,0.187772618671449
-9,-0.0431578886405295,0.0784938261058478,-0.201067098695323,0.114751321414264
-8,-0.0543971018413782,0.0786577065924793,-0.212635996910538,0.103841793227781
-7,-0.0931308662236637,0.0773556168948667,-0.248750294695626,0.0624885622482984
-6,-0.0234491999836473,0.0562872516865574,-0.136684544607999,0.0897861446407043
-5,-0.075438984619548,0.0915316280007867,-0.259576868956372,0.108698899717276
-4,-0.025265270780035,0.0551743548289572,-0.13626175570835,0.0857312141482797
-3,0.0149310171114737,0.0885926361521609,-0.163294378253949,0.193156412476896
-2,0.028851171894699,0.0777055469239962,-0.127472224993833,0.185174568783231
-1,0,NA,0,0
0,-0.000879623671556203,0.0685511887032693,-0.138786827250257,0.137027579907145
1,0.0306906132986251,0.0632070079884475,-0.0964654854233756,0.157846712020626
2,-0.121054551430445,0.107867275931765,-0.338055520528045,0.0959464176671548
3,0.0714590876385066,0.0816287318689334,-0.0927567393466108,0.235674914623624
4,0.0145570489138115,0.0840904522834624,-0.15461112076269,0.183725218590312
5,0.00738629120464179,0.103236953052297,-0.200299669764681,0.215072252173965
6,-0.0456853830877032,0.0723998525911286,-0.19133509973334,0.0999643335579331
7,0.0495028775549098,0.0781222623016648,-0.107658842541573,0.206664597651392
8,-0.0290109698218833,0.0806314566907973,-0.191220537927807,0.133198598284041
