"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00132910181189289,0.00130320768582406,-0.00395081751126916,0.00129261388748338
-15,-0.00226905996700452,0.000911521994110609,-0.00410280569171257,-0.000435314242296461
-14,-0.00216516063826837,0.000976824827951642,-0.0041302787194758,-0.000200042557060949
-13,-0.00165398453478173,0.00135041956746829,-0.00437067828919111,0.00106270921962765
-12,-8.29695793111637e-05,0.00149031462114622,-0.00308109588087484,0.00291515672225251
-11,-0.00214564087168501,0.000897357000836288,-0.0039508903055464,-0.000340391437823613
-10,-0.00178752759784316,0.0010952607184495,-0.0039909079582448,0.000415852762558474
-9,-0.00168270683940904,0.00119948685201988,-0.00409576313530362,0.000730349456485531
-8,-0.00229129361383338,0.000855928199191472,-0.00401319904899063,-0.000569388178676138
-7,-0.0016328939508249,0.00108549372924269,-0.00381662566334203,0.000550837761692237
-6,-0.00284489836974307,0.000928197912847299,-0.00471219171577739,-0.000977605023708744
-5,-0.000396602030895617,0.00133217932798777,-0.00307660115656191,0.00228339709477068
-4,-0.00219275213637209,0.000956107712297071,-0.00411619275668959,-0.000269311516054592
-3,-0.00114256904627097,0.000722540496956178,-0.00259613303680815,0.000310994944266207
-2,-0.00207523656729438,0.00115720658151018,-0.00440323593007312,0.000252762795484366
-1,0,NA,0,0
0,-0.002341145309913,0.000874772063127044,-0.00410095970958465,-0.000581330910241355
1,-0.00238386096300785,0.00109679232104754,-0.00459032251040689,-0.000177399415608809
2,-0.00137547668007444,0.000960485944479226,-0.00330772516745129,0.00055677180730242
3,-0.000404456880603021,0.00115079897205745,-0.00271956579584956,0.00191065203464352
4,-0.00153795168698384,0.00115072417076294,-0.00385291012143574,0.000777006747468066
5,-0.00102461929632361,0.00106753302613609,-0.00317221873474611,0.0011229801420989
6,-0.00183816371027284,0.000781302852464086,-0.00340994231206748,-0.000266385108478212
7,0.0006477523745969,0.00137178406036483,-0.00211192119572775,0.00340742594492155
8,-0.00125980633243254,0.000973351210271412,-0.00321793639622344,0.000698323731358358
