"rel_week","beta","se","ci_lo","ci_hi"
-16,0.00176214091483891,0.00925460506511769,-0.016855723033227,0.0203800048629049
-15,-0.00737845822816691,0.00318246667041935,-0.0137807553626442,-0.000976161093689636
-14,-0.00730007267477198,0.00395087456853656,-0.0152482071089616,0.000648061759417616
-13,-2.25296842542039e-05,0.0083230422502352,-0.0167663309765369,0.0167212716080285
-12,0.0177511899873135,0.0116246733121696,-0.00563463627365125,0.0411370162482783
-11,-0.00529496758440796,0.0027626095596251,-0.0108526211591229,0.000262685990306997
-10,0.00278073982596563,0.00937386340065441,-0.0160770409472995,0.0216385205992308
-9,0.00100780576894094,0.00848627585228273,-0.0160643791737828,0.0180799907116647
-8,-0.00980768523067118,0.00309659795591646,-0.0160372367933211,-0.00357813366802126
-7,-0.000332057064322541,0.00552859356217142,-0.0114541527172884,0.0107900385886433
-6,-0.0088890673878798,0.00366579880899973,-0.0162637033671269,-0.00151443140863273
-5,-0.00402809839777443,0.00339849437234249,-0.0108649872122984,0.00280879041674956
-4,-0.00690959174350724,0.00288514469004023,-0.0127137542044335,-0.00110542928258101
-3,-0.00475343733863841,0.00330750453058012,-0.0114072782021512,0.00190040352487437
-2,-0.00694245339553447,0.00369640419794591,-0.014378659475663,0.000493752684594099
-1,0,NA,0,0
0,-0.00325778858757782,0.00818637365373716,-0.0197266481273308,0.0132110709521752
1,-0.00912664983676845,0.00375778962745537,-0.0166863474723939,-0.001566952201143
2,-0.00316905664265889,0.0028222540828562,-0.00884669952117996,0.00250858623586218
3,-0.00553688284853852,0.00441398860862509,-0.0144166825596513,0.00334291686257425
4,-0.00503662239866612,0.00706299352665563,-0.0192455326244503,0.00917228782711807
5,-0.000429746844977871,0.00870071587159377,-0.0179333294623147,0.0170738357723589
6,-0.00497275498379859,0.00338896387943887,-0.0117904709196325,0.00184496095203538
7,0.00536897200854549,0.00519126403052709,-0.00507450415913393,0.0158124481762249
8,-0.00525010793315889,0.00636203542213301,-0.0180488723416477,0.00754865647532993
