"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000622580023301057,0.00087389864789903,-0.0023806373381732,0.00113547729157108
-15,-0.000559978045422358,0.000603386935301702,-0.00177383598862403,0.000653879897779316
-14,-0.000404731865785904,0.000788364449343014,-0.0019907165681135,0.00118125283654169
-13,-0.00026760187941393,0.000952886493991727,-0.002184562244363,0.00164935848553514
-12,-0.000277067104119503,0.000652499376737314,-0.00158972653548538,0.00103559232724637
-11,-0.000917447529539498,0.000814282622812529,-0.0025555728714776,0.000720677812398601
-10,-0.000500999909893743,0.00054247341520634,-0.00159231565688569,0.000590315837098201
-9,0.000223241664690398,0.00066449346477541,-0.00111354675950696,0.00156003008888775
-8,-0.00047929273188859,0.000594894218792604,-0.00167606553321729,0.00071748006944011
-7,0.000505241079659553,0.000786603291922266,-0.00107720063093367,0.00208768279025278
-6,-0.00111889639776643,0.000778978083593418,-0.00268599816783888,0.000448205372306022
-5,0.000166114258561102,0.000850189032878453,-0.00154424546320921,0.00187647398033141
-4,-0.00122869523813567,0.000686105547764171,-0.00260896156526761,0.000151571088996264
-3,0.00103561273431921,0.000853813558815374,-0.000682038593121473,0.00275326406175988
-2,-0.000428785379065562,0.000624208188479681,-0.001684530280832,0.000826959522700878
-1,0,NA,0,0
0,-0.000269410388832691,0.000796121329356235,-0.00187099992094303,0.00133217914327765
1,-3.57313752589474e-05,0.000738603096041685,-0.00152160914713224,0.00145014639661435
2,-0.000772868385394108,0.000629670337605136,-0.00203960171384826,0.000493864943060043
3,1.85783051367239e-05,0.000569348508270971,-0.0011268031553836,0.00116395976565704
4,-0.000324966343224348,0.000920387852357278,-0.00217654787415621,0.00152661518770752
5,0.000423209914256879,0.000843355083520558,-0.00127340167472138,0.00211982150323514
6,-0.00103858016263901,0.000734141467002292,-0.00251548229461653,0.000438321969338501
7,0.000501839026286555,0.000625076991255011,-0.000755653681221458,0.00175933173379457
8,-0.00129840513717723,0.000750549938901029,-0.00280831685684183,0.000211506582487374
