"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000635999206358207,0.00423958520382828,-0.00789294610959241,0.00916494452230883
-15,-0.00194118100216427,0.00202211312294103,-0.00600914789492935,0.00212678589060081
-14,0.00124025418650229,0.00406154557628839,-0.00693052159767698,0.00941102997068156
-13,0.0043350453651526,0.00448470307348487,-0.00468701349982531,0.0133571042301305
-12,0.00664597762200733,0.00404991897052686,-0.0015014084483243,0.014793363692339
-11,0.000895290741166539,0.00298529323880915,-0.00511034461270937,0.00690092609504245
-10,0.00499637279232426,0.00242919088366994,0.000109471076062437,0.00988327450858608
-9,0.00408055985678436,0.00300094655951539,-0.00195656591653071,0.0101176856300994
-8,0.000597568284795604,0.00288829469027192,-0.00521293115921499,0.0064080677288062
-7,0.00940289003519824,0.00651518542571137,-0.00370397244016704,0.0225097525105635
-6,-0.00246885931360025,0.00340079557419182,-0.00931037754911482,0.00437265892191432
-5,0.00114837258577065,0.00334159505058546,-0.00557404955797097,0.00787079472951228
-4,-0.00143161748329076,0.00234672116565911,-0.00615261152667433,0.00328937656009282
-3,0.00580341943767025,0.00419846692031837,-0.00264280656148845,0.0142496454368289
-2,0.00127011735128898,0.00203171208810747,-0.00281716016859131,0.00535739487116927
-1,0,NA,0,0
0,0.00345544625349773,0.00493947635955515,-0.00648149845562977,0.0133923909626252
1,0.00363965521552185,0.00337657862636304,-0.00315314480492668,0.0104324552359704
2,0.0023174908349338,0.00318989525779438,-0.00409975068972562,0.00873473235959321
3,0.00129263533319795,0.00200438446706086,-0.00273966610427903,0.00532493677067494
4,0.0039963338861116,0.00453968340047356,-0.00513633113012756,0.0131289989023508
5,0.00628194242095641,0.00430633748640245,-0.00238129116623261,0.0149451760081454
6,-0.00217682774974538,0.00257100219511881,-0.00734901702655405,0.00299536152706328
7,0.0041335443686961,0.00129652834080938,0.00152526577829104,0.00674182295910116
8,-0.00344207922566385,0.00286542586529897,-0.00920657252797495,0.00232241407664726
