"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000233391444886332,0.000909825087891019,-0.00206372343460444,0.00159694054483178
-15,0.000199811059590878,0.000680732548588771,-0.00116964618741967,0.00156926830660142
-14,0.000380077506510104,0.0010016607637586,-0.00163500403295657,0.00239515904597678
-13,0.000374344214274446,0.000930117286175435,-0.00149681041284506,0.00224549884139395
-12,-0.000241415544964311,0.00056125791815061,-0.00137052083755952,0.000887689747630895
-11,-0.000346625370362985,0.000948520013376394,-0.00225480150935578,0.00156155076862981
-10,7.13469101307222e-05,0.000813753957795387,-0.0015657148949742,0.00170840871523564
-9,0.00105801546241902,0.000955951154315997,-0.000865110203865203,0.00298114112870325
-8,0.000356721254021679,0.00082567970818904,-0.00130433206630678,0.00201777457435014
-7,0.00142705993148227,0.00117173012721057,-0.00093015703658496,0.00378427689954951
-6,-0.000317935252502677,0.000889513907926404,-0.00210740641860431,0.00147153591359896
-5,0.000482606977617248,0.00100951642534671,-0.00154827811452838,0.00251349206976287
-4,-0.00073660248258256,0.000802122086378668,-0.00235026398070797,0.000877059015542853
-3,0.00198977593413733,0.00121409283485813,-0.000452663809175785,0.00443221567745045
-2,0.000346019141962854,0.000803477307134235,-0.00127036870866158,0.00196240699258729
-1,0,NA,0,0
0,0.000733929648852282,0.00100117083616322,-0.00128016628342197,0.00274802558112654
1,0.00115556496591631,0.000923704108135243,-0.000702688011117983,0.0030138179429506
2,-0.000508227417539125,0.00101179833245458,-0.00254370311466221,0.00152724827958397
3,0.000241811119761996,0.000785349719746827,-0.00133810872889901,0.001821730968423
4,0.00030854853122939,0.000986968479023888,-0.00167697594379721,0.00229407300625599
5,0.00128039771899968,0.00121886259216479,-0.0011716375383279,0.00373243297632727
6,-0.0005720595605443,0.00101131613766318,-0.00260656520687003,0.00146244608578143
7,0.000177352312768851,0.00107420100491852,-0.00198366136871496,0.00233836599425266
8,-0.00134348883681353,0.000743632975294406,-0.00283948542055869,0.000152507746931637
