"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000727836707418165,0.00296510596081082,-0.00523718708144659,0.00669286049628292
-15,0.000703889462484631,0.00234914877153669,-0.00402198829399424,0.00542976721896351
-14,0.00516447326657937,0.00472338759607558,-0.00433775692249453,0.0146667034556533
-13,0.0066819206638142,0.00491406720384807,-0.00320390741735772,0.0165677487449861
-12,0.00295243658365809,0.00331111363061173,-0.00370866485260637,0.00961353801992256
-11,0.0038284012647844,0.0044052805297499,-0.00503388005125839,0.0126906825808272
-10,0.00627388887064203,0.00312455259725859,-1.19001765426291e-05,0.0125596779178267
-9,0.00577997283789891,0.00328147996060281,-0.000821513343838121,0.0123814590196359
-8,0.00531017506017386,0.00321280074163058,-0.00115314635430541,0.0117734964746531
-7,0.0136571481048702,0.00814263940669251,-0.00272372947826559,0.0300380256880061
-6,0.00074988387344567,0.00383972709484413,-0.00697465068491816,0.0084744184318095
-5,0.00378248523477517,0.00428581796468954,-0.00483946839926162,0.012404438868812
-4,0.00129922158359887,0.00261031024925685,-0.00395204529823518,0.00655048846543292
-3,0.0105283595890582,0.00527783193673733,-8.92687427330799e-05,0.0211459879208496
-2,0.00522248865772766,0.00285320476824006,-0.000517418968507818,0.0109623962839631
-1,0,NA,0,0
0,0.00673062332460595,0.00490315518710335,-0.00313325261039411,0.016594499259606
1,0.0100495885335775,0.00480355991681866,0.000386072438785032,0.01971310462837
2,0.00479538395785843,0.00508783458948216,-0.00544001901295848,0.0150307869286753
3,0.00483749278495954,0.00479232780981435,-0.00480342722511781,0.0144784127950369
4,0.00929855847291721,0.0047993062234043,-0.000356400294500609,0.018953517240335
5,0.0103083259093339,0.00547061781389907,-0.000697137582018637,0.0213137894006864
6,-0.000543478006827846,0.00314434578117739,-0.00686908580399766,0.00578212979034197
7,0.0018450860863578,0.0024048171907582,-0.00299278208440427,0.00668295425711987
8,-0.00244865358379691,0.00149216442913691,-0.00545050121903808,0.000553194051444261
