"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00299182499335061,0.00273053387538935,-0.0084849506145829,0.00250130062788168
-15,-0.00388972351761045,0.00173288326347857,-0.00737583498431454,-0.00040361205090636
-14,9.09871778433085e-05,0.00198297941881573,-0.00389825285688061,0.00408022721256722
-13,-0.000884782659616581,0.00137623111051002,-0.00365340254088489,0.00188383722165173
-12,-0.00132399822898028,0.00169348637970707,-0.00473085338848654,0.00208285693052597
-11,0.000933373226855229,0.00181008202470659,-0.00270804211542101,0.00457478856913147
-10,-0.000318594769679595,0.00191707262716601,-0.00417524744151181,0.00353805790215262
-9,-0.00180001104452046,0.00201413976831289,-0.00585193761674978,0.00225191552770886
-8,-0.000300133134749974,0.0021555688662338,-0.00463657835308705,0.00403631208358711
-7,-0.00171997687768615,0.00226035704826608,-0.00626722872717764,0.00282727497180534
-6,-0.00493307676980234,0.00199122048022214,-0.00893889568163366,-0.000927257857971023
-5,-0.00298306486828857,0.00145180399555715,-0.00590371778414564,-6.24119524315031e-05
-4,-0.00157088501908953,0.00168953462783991,-0.00496979027926442,0.00182802024108536
-3,0.000912783757510412,0.00197722587456953,-0.00306488163915589,0.00489044915417671
-2,0.00119080461529907,0.00155115593997382,-0.00192971863225883,0.00431132786285698
-1,0,NA,0,0
0,0.0022948842656704,0.00196421111768012,-0.00165659881728513,0.00624636734862593
1,0.00451430298914674,0.00340926099451737,-0.00234424547540248,0.011372851453696
2,-0.0028067048698418,0.00231580393444473,-0.00746550146661905,0.00185209172693545
3,-0.00523584898004296,0.00177664600785068,-0.00880999973259243,-0.0016616982274935
4,-0.0056143312327694,0.00271354152375541,-0.0110732726517962,-0.000155389813742643
5,-0.0040946957092892,0.00214095094124696,-0.00840173345570359,0.000212342037125191
6,-0.00791081940480667,0.00247689742007962,-0.0128936942931336,-0.00292794451647976
7,-0.00408681616335278,0.00216127149931306,-0.00843473359969033,0.000261101272984767
8,-0.00262840495858815,0.00305181776862352,-0.00876787040424845,0.00351106048707215
