"rel_week","beta","se","ci_lo","ci_hi"
-16,0.00580569168932606,0.00350058449118866,-0.00123657595333226,0.0128479593319844
-15,0.00102920056192258,0.00280736491582056,-0.00461848917605719,0.00667689029990235
-14,0.0046099060488233,0.00322044350962461,-0.0018687906316666,0.0110886027293132
-13,0.00535632480012682,0.0033319406960561,-0.00134667528747419,0.0120593248877278
-12,0.00302297833143354,0.00251383036496664,-0.00203419605841394,0.00808015272128102
-11,0.00157069478538481,0.00347471534063473,-0.00541953083904841,0.00856092040981803
-10,0.00576357136628087,0.00301296590617148,-0.000297734213650811,0.0118248769462125
-9,0.00316389690852018,0.0020562824601852,-0.000972809824306303,0.00730060364134667
-8,-0.00213513685472488,0.00240782976463777,-0.00697906554241109,0.00270879183296132
-7,0.00301634439835416,0.00315279377080963,-0.00332625856181841,0.00935894735852673
-6,-0.00052395441500213,0.00196998764032359,-0.00448705836258801,0.00343914953258375
-5,0.00235196040918549,0.00326990599133157,-0.00422624194966392,0.0089301627680349
-4,0.00332697671434485,0.00325030588372203,-0.00321179531395298,0.00986574874264268
-3,0.00706032849341531,0.00297387506507097,0.0010776635422413,0.0130429934445893
-2,0.00865234285927421,0.00378169674240686,0.00104455031193445,0.016260135406614
-1,0,NA,0,0
0,0.00798535383848922,0.00322034641223352,0.00150685249275476,0.0144638551842237
1,0.016325877806781,0.00371099959132758,0.00886030958247271,0.0237914460310893
2,0.0188153137539868,0.00434566132697441,0.0100729708035637,0.0275576567044099
3,0.0179454259336755,0.00380717989983051,0.0102863678861289,0.0256044839812222
4,0.0157410909930546,0.0037191839863114,0.00825905788977695,0.0232231240963322
5,0.0204071161024615,0.00428985197647795,0.0117770470834771,0.0290371851214459
6,0.0219350862375251,0.00394728124821131,0.0139941806314126,0.0298759918436376
7,0.021193673369234,0.00440424242905252,0.0123334804424215,0.0300538662960466
8,0.0200992894002575,0.00356175759088777,0.0129339573545841,0.027264621445931
