"rel_week","beta","se","ci_lo","ci_hi"
-16,0.161212078022248,0.42059622660191,-0.68491839095468,1.00734254699918
-15,0.0356675090858942,0.419152891174495,-0.807559343536801,0.878894361708589
-14,0.344993686837595,0.472215388567472,-0.604981141550231,1.29496851522542
-13,0.244627012343303,0.379617842925325,-0.519065582004276,1.00831960669088
-12,-0.0389252321032456,0.360047346490235,-0.76324706589855,0.685396601692059
-11,-0.411864175069322,0.352967018826803,-1.12194222685362,0.298213876714975
-10,0.192981889690558,0.3032838031275,-0.417146424219076,0.803110203600191
-9,-0.0318228372345406,0.361952985512296,-0.75997832225507,0.696332647785989
-8,0.109878812547275,0.375047771651926,-0.644619984268974,0.864377609363524
-7,-0.16120416762323,0.291360624024592,-0.747346139079089,0.424937803832628
-6,-0.36708384372762,0.153408064833229,-0.675701062885509,-0.0584666245697309
-5,0.317387418735265,0.298340935135164,-0.282797127380168,0.917571964850698
-4,-0.234897322885636,0.32985996158106,-0.898489971455599,0.428695325684327
-3,-0.0770040103370377,0.350859955438842,-0.782843197338776,0.6288351766647
-2,0.217331637732121,0.325648772428295,-0.437789191008246,0.872452466472487
-1,0,NA,0,0
0,0.169680337366794,0.272849151255514,-0.379221354350704,0.718582029084293
1,0.269512445857992,0.272328285152124,-0.278341398417088,0.817366290133071
2,0.787829700290871,0.203287351000973,0.37886830035341,1.19679110022833
3,0.664954844227832,0.36419095087505,-0.0677028463812736,1.39761253483694
4,0.452995888331417,0.348813594800578,-0.248726552068624,1.15471832873146
5,0.00629389695022586,0.358605203716575,-0.715126719800723,0.727714513701175
6,0.334598781057358,0.402487220377387,-0.475101066434311,1.14429862854903
7,0.78433051647701,0.292201028380015,0.196497869531434,1.37216316342259
8,0.926385949222907,0.315585571798303,0.291509668887687,1.56126222955813
