"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00198339923503926,0.00354604562210139,-0.0091171228765547,0.00515032440647617
-15,-0.00161660991176253,0.00412537173532466,-0.00991578736591081,0.00668256754238575
-14,0.00404076304375652,0.00331072116173436,-0.00261954884696696,0.01070107493448
-13,-0.00167542042563124,0.00368234919288912,-0.00908335148266638,0.00573251063140389
-12,0.00708292294857522,0.00361690097541219,-0.000193343277810185,0.0143591891749606
-11,0.00665273416689979,0.00355286818137796,-0.000494714693519653,0.0138001830273192
-10,0.00160735264977565,0.00230749700231237,-0.00303473255508612,0.00624943785463742
-9,0.00436380037669823,0.00380578735384431,-0.00329245622967077,0.0120200569830672
-8,0.00579917441086883,0.00410146983787567,-0.00245191862782631,0.014050267449564
-7,0.00421685653007971,0.00263197136201415,-0.00107798688986067,0.00951169995002009
-6,0.00720947773706115,0.00242166216419737,0.00233772185077879,0.0120812336233435
-5,0.00322212254543944,0.00279560669575008,-0.00240191270485518,0.00884615779573407
-4,0.00641292316348847,0.00331137077837336,-0.000248695587346089,0.013074541914323
-3,0.00504305297807188,0.00348115619720346,-0.00196012997846376,0.0120462359346075
-2,0.00512791835313981,0.00316130823554773,-0.00123181350069912,0.0114876502069787
-1,0,NA,0,0
0,0.00739946117929501,0.00388853576882216,-0.000423263765931858,0.0152221861245219
1,0.0193395887883518,0.00370301482897368,0.0118900838339634,0.0267890937427403
2,0.017794943533308,0.00377110633898531,0.0102084561295882,0.0253814309370279
3,0.0182487497473719,0.00461588512429599,0.00896278663610314,0.0275347128586407
4,0.0242281473227826,0.00336330361959542,0.0174620531712685,0.0309942414742966
5,0.024284643483373,0.0048415308644669,0.0145447396948519,0.0340245472718942
6,0.0206204365257806,0.00402038520613541,0.0125324647257982,0.028708408325763
7,0.0229963492391445,0.00648357042099631,0.00995308794960626,0.0360396105286827
8,0.0201926491490114,0.00365677132635922,0.0128361741223292,0.0275491241756935
