"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000248138537485358,0.00282225966771226,-0.00592579265128761,0.0054295155763169
-15,0.0024075767119308,0.00221992920630981,-0.0020583448100146,0.0068734982338762
-14,0.00139809868112647,0.00215209023115879,-0.00293134842609773,0.00572754578835066
-13,0.00109338854275259,0.0019854237466706,-0.0029007688453458,0.00508754593085098
-12,0.00247789014865719,0.0018588550433197,-0.00126164385113995,0.00621742414845433
-11,-0.000412284444831365,0.00213701699693044,-0.00471140811608545,0.00388683922642272
-10,0.00179056932069499,0.00240718989124804,-0.00305207210776945,0.00663321074915942
-9,-0.00250161054752739,0.00194818065037261,-0.00642084448994638,0.0014176233948916
-8,-0.00034426069377557,0.00209527752698104,-0.00455941538231085,0.00387089399475971
-7,-0.00082642985411764,0.00225132640645817,-0.00535551439561918,0.0037026546873839
-6,0.00101661398000501,0.00220472930731493,-0.0034187292893278,0.00545195724933782
-5,0.00145326616187995,0.00188190812926847,-0.00233264466488682,0.00523917698864673
-4,-4.49539795318405e-05,0.00182956398422805,-0.00372556196906425,0.00363565401000057
-3,0.00129706886539245,0.0030145043740788,-0.00476733171275745,0.00736146944354235
-2,-0.00049142547554319,0.00237644375368719,-0.00527221365343576,0.00428936270234938
-1,0,NA,0,0
0,0.000687740300933885,0.00201917630602935,-0.00337431847826857,0.00474979908013634
1,-0.00327212614428871,0.00202314094416169,-0.00734216074664427,0.000797908458066857
2,-0.00476163423663935,0.00208003689437009,-0.0089461287270963,-0.000577139746182411
3,-0.00221886923085103,0.00141546103480623,-0.00506640954017658,0.000628671078474508
4,-0.00160125222677089,0.00219664888635575,-0.00602033978589213,0.00281783533235036
5,-0.0020233692720834,0.00202233053429317,-0.00609177354007373,0.00204503499590694
6,-0.00459743731275929,0.00245126706134956,-0.0095287505700475,0.000333875944528916
7,-0.00337888436784613,0.00234081533562083,-0.00808799741367448,0.00133022867798223
8,-0.0016242661412211,0.00175226326451565,-0.0051493651411676,0.00190083285872541
