"rel_week","beta","se","ci_lo","ci_hi"
-16,0.0382604285859168,0.0369614279097939,-0.0360963733855176,0.112617230557351
-15,0.0855291965051404,0.0307117515428116,0.0237451216788636,0.147313271331417
-14,0.0333642882183125,0.0314665212284768,-0.0299381873631521,0.096666763799777
-13,0.0343033482722499,0.0210990760740896,-0.00814251786826247,0.0767492144127622
-12,0.0855428956162132,0.0341685913788632,0.0168045560422764,0.15428123519015
-11,0.0159335184261469,0.0140777035569008,-0.0123871681595481,0.0442542050118419
-10,0.0551129418246871,0.0223184418661403,0.01021402811925,0.100011855530124
-9,0.0273070683998811,0.0194646365485825,-0.0118507295299275,0.0664648663296897
-8,0.0263068944096551,0.0111749866595684,0.00382572100621164,0.0487880678130985
-7,0.0121128398973613,0.0222495349033528,-0.032647450879358,0.0568731306740805
-6,0.0359412108472107,0.0215830294281659,-0.00747824386245246,0.0793606655568738
-5,0.0481941975396655,0.0261196500314536,-0.0043517606330527,0.100740155712384
-4,0.00652688156725104,0.0103133065826859,-0.014220815115654,0.0272745782501561
-3,0.0407185089477643,0.029802351032911,-0.0192360880295388,0.100673105925067
-2,0.0139109886397097,0.0255944689049527,-0.0375784413837804,0.0654004186631998
-1,0,NA,0,0
0,0.0573819213399245,0.0244736905865116,0.0081472064665523,0.106616636213297
1,-0.0287935409294371,0.0200547049925673,-0.0691384034538834,0.0115513215950092
2,-0.0380148184668281,0.0206590618398602,-0.0795754901457235,0.00354585321206721
3,-0.0422040940303433,0.0243510549657835,-0.0911920978570703,0.00678390979638378
4,0.000210524871247786,0.0338021750092941,-0.067790680047133,0.0682117297896286
5,-0.00949674767267006,0.0272062876629755,-0.0642287387924641,0.045235243447124
6,-0.040016893694734,0.0299180012103887,-0.100204148819489,0.0201703614300211
7,-0.0330617748528945,0.0214373057794543,-0.076188071394636,0.0100645216888469
8,-0.0164467151794829,0.0216755178551555,-0.0600522326047721,0.0271588022458062
