"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000440658970581714,0.00160786320158715,-0.0027939445725864,0.00367526251374983
-15,0.00102860717222055,0.00124523213860012,-0.00147647676999967,0.00353369111444077
-14,0.000409701638750316,0.00193540473800907,-0.00348383048316707,0.0043032337606677
-13,-0.000428111983237088,0.00118498413274206,-0.00281199257120122,0.00195576860472704
-12,-0.000986875576368946,0.00100007783186979,-0.00299877266762442,0.00102502151488653
-11,-0.000280440827094933,0.00126750157280321,-0.00283032509231935,0.00226944343812949
-10,0.00100625249437312,0.00156321469751175,-0.0021385298442691,0.00415103483301533
-9,0.00107253165240012,0.00109559231193619,-0.00113151578805278,0.00327657909285302
-8,-0.000478669129316636,0.00106553320695612,-0.00262224545047466,0.00166490719184138
-7,0.00102970057238084,0.00119093948373139,-0.001366160636442,0.00342556178120369
-6,0.000887314112031174,0.0013848411417355,-0.00189862691787792,0.00367325514194027
-5,0.00185239063567048,0.00142892965868742,-0.00102224504998105,0.00472702632132201
-4,-0.000377887026836813,0.00106354936283357,-0.00251747236840059,0.00176169831472696
-3,0.000310676292287804,0.00182008391511864,-0.00335086025814425,0.00397221284271986
-2,0.000594179936754101,0.00131364164648946,-0.00204852618401143,0.00323688605751963
-1,0,NA,0,0
0,0.00154482175533297,0.000923413077094691,-0.000312845742766291,0.00340248925343222
1,-0.00195082871790259,0.00110089214684318,-0.00416553805095394,0.000263880615148769
2,-0.00283213354375899,0.000933378798590001,-0.00470984948753891,-0.000954417599979072
3,-0.000824899574010953,0.000723258483351184,-0.00227990796686727,0.000630108818845369
4,-0.000853088932540143,0.00106404749777558,-0.00299367639234806,0.00128749852726777
5,-0.002289189481988,0.000952915398656588,-0.00420620799562241,-0.000372170968353592
6,-0.00212437637848188,0.00159977305065633,-0.00534270463726028,0.00109395188029652
7,-0.00224381968824888,0.00135679054527285,-0.00497333019681978,0.000485690820322025
8,-0.00127667273737811,0.00129662703743454,-0.00388514987978259,0.00133180440502636
