"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0265730762734843,0.025480146091585,-0.077832518461679,0.0246863659147104
-15,-0.00247191003554674,0.0261901740831091,-0.0551597443001727,0.0502159242290792
-14,-0.0252093779794296,0.0282259308210382,-0.0819926265498458,0.0315738705909867
-13,-0.0287418672768789,0.0261571763044836,-0.0813633185733807,0.023879584019623
-12,-0.0214765345143621,0.0238481947469334,-0.0694529140660853,0.0264998450373611
-11,-0.0279718739295677,0.0224197378930073,-0.0730745689561328,0.0171308210969975
-10,-0.00476258463582373,0.0237174425766596,-0.0524759247493492,0.0429507554777018
-9,-0.000598851491369956,0.0176429723069393,-0.0360919336638521,0.0348942306811122
-8,-0.0158078863353504,0.0211220370552537,-0.0582999440119056,0.0266841713412047
-7,-0.0137565188940904,0.0188643774120223,-0.0517067512001443,0.0241937134119635
-6,-0.0253114716743018,0.0179999865507115,-0.061522773864959,0.0108998305163553
-5,0.0288219206523214,0.0310074338769951,-0.0335569903048264,0.0912008316094692
-4,-0.0092813390117238,0.0203740954854181,-0.0502687323303382,0.0317060543068906
-3,-0.0141947493308449,0.0204721743043217,-0.0553794517829863,0.0269899531212965
-2,-0.00898716868418496,0.0197086076998744,-0.0486357732632286,0.0306614358948587
-1,0,NA,0,0
0,0.00190463011253468,0.0143075320699017,-0.0268784118039744,0.0306876720290437
1,-0.0331726438393966,0.0173034406250458,-0.0679826763717186,0.0016373886929255
2,-0.0471074066667462,0.0161847307843878,-0.0796668852895085,-0.0145479280439839
3,-0.0359510868512687,0.0171091242651701,-0.0703702052899483,-0.00153196841258911
4,-0.0391748012566701,0.0188075254122792,-0.0770106620915543,-0.00133894042178599
5,-0.0339192898102889,0.0212263984704212,-0.0766212955738067,0.00878271595322894
6,-0.0551075312076318,0.0195640652333139,-0.0944653538507413,-0.0157497085645223
7,-0.0352116246431193,0.0250536149996949,-0.0856129969533932,0.0151897476671546
8,-0.0384346559542311,0.0273520001984249,-0.093459782884947,0.0165904709764847
