"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000769391060082639,0.00154530510634703,-0.00233936182842917,0.00387814394859445
-15,0.000495043999275318,0.00107911371456577,-0.00167585277923807,0.0026659407777887
-14,3.66750138673273e-05,0.00196758641461024,-0.00392159829066839,0.00399494831840305
-13,-0.000991259762087054,0.00156163432235749,-0.00413286279600454,0.00215034327183043
-12,-0.00230478425025626,0.000963684691887832,-0.0042434677873882,-0.000366100713124325
-11,-0.000221682845279116,0.00129799728395124,-0.00283291656811502,0.00238955087755679
-10,0.000731074170416447,0.00166327156909368,-0.00261499663046418,0.00407714497129707
-9,0.00251116915637117,0.0013302380154238,-0.000164924552160375,0.00518726286490272
-8,-0.000483443526391024,0.00121826509775851,-0.00293427678001478,0.00196738972723273
-7,0.00176786863918874,0.00160082556095416,-0.00145257699719692,0.00498831427557439
-6,0.000869359003781593,0.00160107797851517,-0.00235159443123793,0.00409031243880111
-5,0.0020113357119264,0.00177072730630538,-0.0015509081489357,0.00557357957278851
-4,-0.000527889280182178,0.00119566372690058,-0.00293325444038519,0.00187747588002083
-3,-4.54282737820683e-05,0.00174608338179189,-0.00355809495328308,0.00346723840571894
-2,0.00102279164448956,0.00144471977225119,-0.0018836096523346,0.00392919294131371
-1,0,NA,0,0
0,0.00190301405798926,0.00141605274002356,-0.000945716608694171,0.00475174472467269
1,-0.00135253830953321,0.00134602265580188,-0.00406038661860799,0.00135530999954157
2,-0.00201323186431921,0.000995029448704057,-0.00401497291863136,-1.14908100070682e-05
3,-1.30251446572773e-05,0.00104545563454249,-0.00211621059997346,0.00209016031065891
4,-0.000804655832005138,0.00124309529364961,-0.00330544099666686,0.00169612933265658
5,-0.00266593049843671,0.00121186495482184,-0.00510388832522109,-0.000227972671652319
6,-0.000788190820496665,0.00187468957536045,-0.00455957978991613,0.0029831981489228
7,-0.00168135908847628,0.00147558172061457,-0.00464984661715568,0.00128712844020312
8,-0.00135511905875405,0.0016224921180626,-0.00461915218586779,0.00190891406835969
