"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0528527206723469,0.029885398514876,-0.112974387633682,0.00726894628898848
-15,-0.0382980545779149,0.0313169422449231,-0.101299616058162,0.0247035069023322
-14,-0.048952552380124,0.0355939849194912,-0.120558413887751,0.0226533091275028
-13,-0.0542726866877032,0.0359169323719211,-0.126528234669189,0.0179828612937825
-12,-0.0647140412939304,0.0282054314017158,-0.121456050351988,-0.00797203223587292
-11,-0.0462528994820367,0.0307049929652235,-0.108023377803964,0.0155175788398909
-10,-0.0295115553257752,0.0285528931018851,-0.0869525671630326,0.0279294565114822
-9,-0.0123811560481445,0.0254891712572142,-0.0636587545276786,0.0388964424313896
-8,-0.0335777348409537,0.0305294722179665,-0.0949951109646243,0.0278396412827169
-7,-0.0260354562919096,0.026559287609829,-0.0794658511924037,0.0273949386085845
-6,-0.0511967641372287,0.0242042645565041,-0.0998894637505814,-0.002504064523876
-5,0.0199355809512926,0.0420914351962808,-0.0647414645140965,0.104612626416682
-4,-0.0171185473599088,0.0313421924391901,-0.0801709056789423,0.0459338109591247
-3,-0.0374400299556909,0.0242328944058931,-0.0861903253969614,0.0113102654855796
-2,-0.0194251161664176,0.0261521869694245,-0.0720365302154446,0.0331862978826094
-1,0,NA,0,0
0,-0.0232394163132391,0.0249031409326414,-0.0733380738465558,0.0268592412200776
1,-0.0332131153072095,0.0256507846859497,-0.0848158380688936,0.0183896074544746
2,-0.0521904258410484,0.0223019978336655,-0.0970562584201469,-0.00732459326194997
3,-0.0282901917170063,0.0209765567937383,-0.0704895808575231,0.0139091974235104
4,-0.0613656311571813,0.0247607967115023,-0.111177929053937,-0.0115533332604253
5,-0.0479873371629488,0.0301715134520799,-0.10868459313504,0.0127099188091429
6,-0.0621006571387116,0.0256274691039129,-0.113656474999411,-0.0105448392780123
7,-0.0327700036131153,0.0342152090559378,-0.101602125856679,0.0360621186304483
8,-0.0498393757467517,0.0407537958490394,-0.131825437944536,0.0321466864510328
