"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000527291574963035,0.00236525187947762,-0.00423098145615757,0.00528556460608364
-15,-0.000790338587454908,0.00223608093149457,-0.00528875318932112,0.0037080760144113
-14,0.000466309083882163,0.00158586895726696,-0.00272404774691815,0.00365666591468248
-13,-0.000280514017012781,0.00168101818138642,-0.00366228639682417,0.00310125836279861
-12,-0.000403899986787155,0.00223767913810409,-0.00490552976563905,0.00409772979206474
-11,0.00116904101898923,0.00229573779177253,-0.00344938770562007,0.00578746974359852
-10,0.00228130989929528,0.00257865804233791,-0.00290628095553097,0.00746890075412154
-9,0.00101108538395917,0.00213481885406541,-0.00328361619423838,0.00530578696215672
-8,0.00227535227151651,0.00132550325821343,-0.000391216334112252,0.00494192087714527
-7,-0.000445974946174806,0.00205952876659574,-0.00458921240512735,0.00369726251277774
-6,0.0018221769874756,0.00167686319067182,-0.00155123662918106,0.00519559060413227
-5,0.00492691223357504,0.00154227592533632,0.00182425327122591,0.00802957119592417
-4,0.00299407030097053,0.00155593563865228,-0.000136068460062266,0.00612420906200332
-3,0.00240553511480384,0.00164728737002737,-0.000908379625235579,0.00571944985484326
-2,-0.000113067857794675,0.00203395145837892,-0.0042048504095753,0.00397871469398595
-1,0,NA,0,0
0,0.00219310499105761,0.00150840685152328,-0.000841418183339319,0.00522762816545455
1,0.00120778599879565,0.00249646968050367,-0.00381446319877159,0.00623003519636289
2,0.00298551655509415,0.00174166081166653,-0.000518253060910871,0.00648928617109917
3,0.00033907799671487,0.00195737402553697,-0.00359865063098018,0.00427680662440992
4,0.00124609840091763,0.00184268738363833,-0.00246091046288631,0.00495310726472157
5,0.00129473917378069,0.00106926337741627,-0.000856341282415142,0.00344581962997653
6,0.00180118226695248,0.00176589008364187,-0.00175133035710351,0.00535369489100847
7,0.00313054735250339,0.0020860857673797,-0.0010661159008494,0.00732721060585618
8,0.00103890123838444,0.00179183595177387,-0.00256580773975658,0.00464361021652546
