"rel_week","beta","se","ci_lo","ci_hi"
-16,4.30177820881547,2.45652125342192,-0.640105119531631,9.24366153716257
-15,3.97897421287097,2.63018802486496,-1.31228159547673,9.27023002121868
-14,3.76719940756339,2.47132354424609,-1.20446228893071,8.73886110405749
-13,1.92457539256806,2.04791139975873,-2.19529093885561,6.04444172399174
-12,1.26773301430199,2.22249492829935,-3.20335007451675,5.73881610312072
-11,-0.2495524351767,1.55166444590373,-3.37109866471529,2.87199379436189
-10,2.85429184781488,2.63386775551311,-2.44436662375733,8.15295031938708
-9,1.56493174664007,1.75974095828525,-1.97521043281201,5.10507392609214
-8,4.38875349558316,2.08546193375896,0.193345233599048,8.58416175756727
-7,2.72653596211834,1.78916739493797,-0.872804572122724,6.3258764963594
-6,2.80334403107802,2.75243268834743,-2.73383631938463,8.34052438154067
-5,5.5936653157938,1.70962489791203,2.15434364538305,9.03298698620455
-4,3.93882143939244,1.95687688445368,0.00209293055567805,7.87554994822919
-3,4.51559410069142,2.12124617519198,0.248197230463407,8.78299097091944
-2,3.22790528024966,2.10195134266136,-1.00067539367088,7.4564859541702
-1,0,NA,0,0
0,1.71377408799089,1.79106857356103,-1.88939112431001,5.31693930029179
1,4.10506735463112,1.60740316675886,0.871389282164801,7.33874542709744
2,-0.154553138443239,1.52238580318528,-3.2171983362381,2.90809205935162
3,2.12601225478258,2.32872052148044,-2.55876916343353,6.81079367299869
4,2.07547282981911,2.03121649338301,-2.01080768207561,6.16175334171382
5,2.77502703230967,1.57648847892122,-0.396458710164367,5.94651277478371
6,3.27836411582922,1.85755527781463,-0.458555093043019,7.01528332470145
7,2.53133404592181,1.42866178040141,-0.342762738129016,5.40543082997263
8,2.18722144040979,1.60542817581841,-1.04248346276738,5.41692634358697
