"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.609228288073245,1.01882777066791,-2.65884539083885,1.44038881469236
-15,-0.369838339374981,0.839470950674457,-2.05863606094603,1.31895938219607
-14,0.273592096066444,0.688065493431119,-1.1106171331684,1.65780132530129
-13,0.575356638710061,0.788215815249109,-1.01032905038911,2.16104232780923
-12,-0.163649099799755,0.918114838852218,-2.01065791737524,1.68335971777573
-11,-0.267336413386734,0.878679573711429,-2.03501171040882,1.50033888363535
-10,-0.102239584135778,0.762393642294114,-1.63597776174885,1.43149859347729
-9,-0.659831441828051,0.943002091895453,-2.55690695462605,1.23724407096995
-8,-1.12189768909104,0.934508869110053,-3.00188704151952,0.758091663337445
-7,-0.580888324798062,0.905989174337469,-2.40350345181333,1.2417268022172
-6,-0.82800896768386,1.00503498400632,-2.84987856272513,1.1938606273574
-5,-0.490144227661969,0.641987971637508,-1.78165743953234,0.801368984208403
-4,-0.823390519866664,0.630365832802459,-2.09152300418637,0.444741964453046
-3,0.136319781494288,0.597798720322958,-1.06629612323521,1.33893568622379
-2,0.730051524675616,0.628705344084341,-0.534740487217266,1.9948435365685
-1,0,NA,0,0
0,0.183309697741504,0.49014016910253,-0.802725137848413,1.16934453333142
1,-0.0836180088815266,0.564819584909513,-1.21988845079202,1.05265243302897
2,0.647896324214914,0.40410939163998,-0.165066910925922,1.46085955935575
3,-0.960374506875434,0.575731716863298,-2.11859732672852,0.197848312977656
4,-0.107153963900189,0.460542026112633,-1.03364501610616,0.819337088305787
5,-1.2478349721606,0.635419478275238,-2.52613407981992,0.0304641354987323
6,-0.813794720390685,0.792870032293733,-2.40884348647822,0.781254045696846
7,-0.828719809191698,0.720459920011267,-2.27809821879687,0.620658600413473
8,-0.367971587880802,0.78120597888019,-1.939555305162,1.2036121294004
