"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00593215621222124,0.0052780864826923,-0.0165502966244228,0.0046859841999803
-15,-0.00579955263411749,0.00406633325331519,-0.0139799599821382,0.00238085471390323
-14,-0.00160474632259193,0.00399177151385507,-0.00963515479856657,0.00642566215338271
-13,0.00010763716531734,0.00592352273136776,-0.0118089534973744,0.0120242278280091
-12,-0.00434627190047006,0.00610184562111157,-0.0166216019449848,0.00792905814404466
-11,7.06728190182316e-05,0.0059449243543657,-0.011888972355718,0.0120303179937545
-10,0.00182713144522511,0.0055146248505524,-0.00926686278465211,0.0129211256751023
-9,-0.00278322681778623,0.00430948630579431,-0.0114527950125163,0.00588634137694381
-8,-0.00647461853771733,0.00597576547856433,-0.0184963080514929,0.00554707097605827
-7,-0.00618575579224374,0.00643984755695325,-0.0191410580248102,0.00676954644032277
-6,0.00284287208333816,0.00427527155110104,-0.00575786490320811,0.0114436090698844
-5,-0.000195080411928757,0.00489057667013209,-0.0100336516347351,0.00964349081087758
-4,-0.00796161523896482,0.00450117348680315,-0.017016808301693,0.00109357782376334
-3,0.000807666808023121,0.00368743463129324,-0.00661049483147966,0.00822582844752591
-2,0.00164562942839967,0.00354303195197807,-0.00548203149083367,0.00877329034763301
-1,0,NA,0,0
0,0.00293266064731711,0.00388405508283791,-0.00488105032038593,0.0107463716150202
1,0.00983044056435671,0.00347248175599176,0.0028447083326406,0.0168161727960728
2,0.000523422921039062,0.00527073508694419,-0.0100799283905035,0.0111267742325817
3,0.00432276700136961,0.00491076218776355,-0.00555641224504654,0.0142019462477858
4,0.00044943351541731,0.0038695632016277,-0.007335123547735,0.00823399057856962
5,-0.00357459924931079,0.00317027902513018,-0.00995237800399287,0.00280317950537129
6,-0.00160067263512853,0.00547253991275261,-0.0126100028906161,0.00940865762035905
7,-0.000687858030808308,0.00479578222494676,-0.0103357274277588,0.00896001136614216
8,-0.00359011430811865,0.0042284502048469,-0.0120966588954981,0.00491643027926078
