"group","norm_st_PH","norm_st_XV","norm_st_XNXX","norm_lt_PH","norm_lt_XV","norm_lt_XNXX","n_mach","ey0_st","ey0_lt","frac_st","frac_lt"
"Full sample",-0.263935470037229,0.11529827512902,0.134769772311661,-0.431827288698285,0.218544735303081,0.125536138947647,8608,3.93374330729988,3.80793571841817,0.736064529962771,0.568172711301715
"PH bin 0",-0.198078633705506,0.132388364930461,0.259945000749756,-0.361521990187921,0.0830224939955327,0.0498176771211012,6190,1.08573519196974,1.05442395518941,0.801921366294494,0.638478009812079
"PH bin 1 (low)",-0.314485507522743,0.26149883347612,-0.0547905961170057,-0.387099059883374,0.524096163647035,0.00615911303893827,807,1.51702714279984,1.68733461137207,0.685514492477257,0.612900940116626
"PH bin 2 (mid)",-0.242313440607694,0.0668068167919883,0.192468717337783,-0.452295423631302,0.261644884960094,0.391944352011973,774,4.26878038101369,3.99773361403364,0.757686559392306,0.547704576368698
"PH bin 3 (high)",-0.275653375548228,0.107811985503086,0.0990540004838891,-0.444674432217338,0.224484106410176,0.109605583403125,837,26.3449337728443,26.6092759347617,0.724346624451772,0.555325567782662
"XXX bin 0",-0.171999201406301,0.0607375587604238,0.0336405917398604,-0.356224402104331,-0.0208086663486903,0.0976280754514152,4492,1.24872956997137,1.1744788407094,0.828000798593699,0.643775597895669
"XXX bin 1 (low)",-0.38306366334966,0.0864094639450745,-0.183043889571701,-0.521073682784027,0.251311450260544,-0.131429948729923,1413,0.838575115545306,0.899705007878179,0.61693633665034,0.478926317215973
"XXX bin 2 (mid)",-0.364600675210465,0.0716860845438461,0.177574901856784,-0.545116397611075,0.260600293593177,0.204156640387413,1341,3.62020210418805,3.65402918784015,0.635399324789535,0.454883602388925
"XXX bin 3 (high)",-0.249282075886793,0.130902048800585,0.161759454539207,-0.411109094943928,0.246468271114238,0.116582682613243,1362,15.9779912929953,15.9206073327226,0.750717924113207,0.588890905056072
"Age 18-34",-0.334024407316719,0.125860265153622,0.0986194107505682,-0.429050065378512,0.156834758565922,0.102044859654955,2567,5.80307537550898,5.42911211147661,0.665975592683281,0.570949934621488
"Age 35-54",-0.239926966855825,0.192123992208443,0.180077282398889,-0.492727721900818,0.248658290623392,0.238528621253123,4037,3.25060702059058,3.17648764384705,0.760073033144175,0.507272278099182
"Age 55+",-0.172037691818527,-0.0650657127629023,0.119964400067684,-0.319441295987799,0.262959351773207,-0.0439305826862779,2004,3.19199235624516,3.25916517941772,0.827962308181473,0.680558704012201
"Income: low",0.0269339928284746,0.0937813949261838,0.065540801157868,-0.334580054737941,0.308452927452606,0.0484418724153913,801,2.5920178338797,2.45501628918679,1.02693399282847,0.665419945262059
"Income: mid",-0.360569914552785,-0.0241541103098046,0.0946593810981274,-0.552924230806656,0.115918970831112,0.171446207348659,2829,3.99019162577596,3.94642440886194,0.639430085447215,0.447075769193344
"Income: high",-0.235928045318077,0.198893723162831,0.169367760274425,-0.3663997692013,0.272720023391109,0.110189474573921,4978,4.11498978965586,3.946719321141,0.764071954681923,0.6336002307987
"Kids: no",-0.235049339947494,0.0998137711017383,0.0644961999164067,-0.404404684473317,0.172854112441118,0.0462888506711189,4546,4.42217364461892,4.32443303903114,0.764950660052506,0.595595315526683
"Kids: yes",-0.304716327687699,0.137614413894991,0.231895180513809,-0.469708093738914,0.283786218218648,0.234148308276763,4062,3.41010290899211,3.24903618831221,0.695283672312301,0.530291906261086
"VPN user: no",-0.265342151638698,0.11189832059475,0.131381842156159,-0.430768338188858,0.22023592670176,0.121955286152923,8467,3.94719347407002,3.80580981271087,0.734657848361302,0.569231661811142
"VPN user: yes",-0.182294209503744,0.33876630275727,0.344680827236537,-0.490026530205019,0.142365272819497,0.300115876525767,141,3.27627099628273,3.94678622212655,0.817705790496256,0.509973469794981
"allVPN user: no",-0.268461113357227,0.126770405938817,0.153377082215464,-0.431641271467744,0.240500071987652,0.167810578968281,8216,3.92229250893202,3.78370641679663,0.731538886642773,0.568358728532256
"allVPN user: yes",-0.169183324058718,-0.0591086385191225,-0.135344824624074,-0.426064430246106,-0.0705913105992097,-0.489831799973611,392,4.03375808666446,4.16117396012897,0.830816675941282,0.573935569753894
