"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0328514863621929,0.0901187261481379,-0.21414697880012,0.148444006075734
-15,0.0102948692723848,0.0546032519935271,-0.0995527049443893,0.120142443489159
-14,0.0127538482148688,0.0664609192041585,-0.120948275527857,0.146455971957595
-13,0.00824422246513778,0.0616652583198407,-0.115810275986497,0.132298720916773
-12,-0.0448173538933225,0.0504953727087599,-0.146400940927419,0.0567662331407741
-11,0.0591530402478146,0.081368294494582,-0.104538854320031,0.22284493481566
-10,-0.045613176884171,0.0520840559461223,-0.150392782350353,0.0591664285820109
-9,-0.0443379311002359,0.0547546702631096,-0.154490119584448,0.0658142573839762
-8,-0.0919074546842944,0.0533840713080507,-0.199302353722539,0.01548744435395
-7,0.00180423131313701,0.0635385521393466,-0.126018848209318,0.129627310835592
-6,0.0157654172545647,0.0536044501319493,-0.0920728267920846,0.123603661301214
-5,-0.0364500615718999,0.0401753335445963,-0.117272407716171,0.044372284572371
-4,0.136037151640315,0.0586476725955785,0.0180532526438309,0.254021050636799
-3,0.0254374126498467,0.0589403713039696,-0.0931353201966242,0.144010145496318
-2,0.0409588650101897,0.0689273646229144,-0.097705106906351,0.179622836926731
-1,0,NA,0,0
0,-0.175606733611695,0.080781630774017,-0.338118413004944,-0.0130950542184459
1,-0.659627887813085,0.0475308137744074,-0.755247551533605,-0.564008224092564
2,-0.727003101690184,0.0871581766962346,-0.902342736852817,-0.551663466527552
3,-0.758010802602339,0.0728618220826179,-0.904589881990112,-0.611431723214567
4,-0.790251499396427,0.0683934688199532,-0.927841411496041,-0.652661587296814
5,-0.75444136018891,0.0956778483415291,-0.946920363964056,-0.561962356413764
6,-0.714004786925987,0.0974816224190071,-0.910112516090412,-0.517897057761563
7,-0.768474489649326,0.073354578835895,-0.91604486776108,-0.620904111537572
8,-0.830432562873951,0.0607238289271544,-0.952593149675503,-0.708271976072399
