"rel_week","beta","se","ci_lo","ci_hi"
-16,0.079132506381708,0.0963601004625033,-0.11471901162578,0.272984024389196
-15,0.0338438735506062,0.0963066601304122,-0.159900136375747,0.22758788347696
-14,0.12174124543017,0.116871273858215,-0.113373431081607,0.356855921941948
-13,0.0748221549899107,0.090977530529851,-0.108201029016077,0.257845338995899
-12,0.0963003058579062,0.0751814308008536,-0.0549452243643418,0.247545836080154
-11,-0.0348017650748595,0.0768059280973174,-0.189315362322848,0.119711832173129
-10,0.0641110132276307,0.0572903562921653,-0.0511423175713313,0.179364344026593
-9,0.038067869483197,0.0805502866980883,-0.123978405659895,0.200114144626289
-8,0.0504284393220657,0.0792301541442886,-0.108962071679054,0.209818950323185
-7,0.00570734235006204,0.0655831064296597,-0.126228849870735,0.13764353457086
-6,-0.0311736326311834,0.0386362447887578,-0.108899731571108,0.0465524663087412
-5,0.0788563834523016,0.0736243672905377,-0.0692567390237937,0.226969505928397
-4,-0.0123377411331024,0.0664113865298849,-0.145940217988239,0.121264735722034
-3,-0.000778342900285001,0.0791294655799525,-0.159966294637261,0.158409608836691
-2,0.0469153176719635,0.0689732733096357,-0.0918410106095865,0.185671645953514
-1,0,NA,0,0
0,0.137650295689058,0.0802534309620134,-0.023798782743039,0.299099374121155
1,0.156255680015577,0.072565157667732,0.0102734124502121,0.302237947580941
2,0.265410570874913,0.0591063213837264,0.146503989529738,0.384317152220087
3,0.242110886003757,0.0939717007004573,0.0530642085605596,0.431157563446955
4,0.192528860305598,0.0719579923511696,0.0477680518060934,0.337289668805102
5,0.126050822374663,0.074847776839411,-0.0245234826557841,0.276625127405111
6,0.168510675873114,0.100807909171782,-0.0342886791121504,0.371310030858378
7,0.290873979410468,0.0796988631044213,0.130540547605102,0.451207411215835
8,0.294549860948859,0.094488790499024,0.104462933008649,0.48463678888907
