"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0123504835450921,0.27518232083934,-0.565945907039775,0.541244939949591
-15,0.00224407928139558,0.197894502439253,-0.395868308720044,0.400356467282835
-14,0.0883067172521681,0.246689413026249,-0.407968369240952,0.584581803745288
-13,0.157149931529191,0.181616959415167,-0.208216263706715,0.522516126765097
-12,0.0902076363375854,0.213039013886809,-0.338371578903546,0.518786851578717
-11,-0.0665678303844639,0.265652591662413,-0.60099191160905,0.467856250840122
-10,-0.0221845272537178,0.197986998147146,-0.420482992618072,0.376113938110637
-9,-0.203143487860301,0.290199716221951,-0.78695001405688,0.380663038336278
-8,-0.173044017185153,0.245426152551696,-0.666777751402223,0.320689717031916
-7,-0.0649594325757143,0.227468774081411,-0.522567581003733,0.392648715852304
-6,-0.158607589457309,0.235307811842476,-0.63198584773792,0.314770668823302
-5,-0.119920244888022,0.213366586298878,-0.549158450821693,0.30931796104565
-4,-0.0863553373245194,0.211259749835127,-0.511355134988259,0.33864446033922
-3,-0.0493662277268849,0.232324507309238,-0.516742851413187,0.418010395959417
-2,0.307404988278729,0.23275612207995,-0.160839932328138,0.775649908885597
-1,0,NA,0,0
0,0.0767629906741329,0.149570772953837,-0.224134592946977,0.377660574295243
1,-0.107378822935781,0.181328298365273,-0.472164307042879,0.257406661171318
2,-0.0614340503357449,0.199672220055823,-0.463122744888408,0.340254644216918
3,-0.406538244423612,0.182996228037454,-0.774679170226289,-0.0383973186209339
4,-0.287082264057094,0.21419600494635,-0.717989045086727,0.143824516972539
5,-0.454504185328071,0.216431675263959,-0.889908554910982,-0.0190998157451595
6,-0.458564750006649,0.263655588489839,-0.988971379042921,0.071841879029624
7,-0.554462754210912,0.2652761318572,-1.08812949599356,-0.0207960124282646
8,-0.489119971208472,0.25992066849585,-1.0120129103773,0.033772967960354
