state,treated,mean_weekly_min_per_machine_xxx,mean_weekly_min_per_machine_all,mean_xxx_share
IA,0,14.959611847186741,117.23689530969094,0.12760156952015567
MT,1,12.020852304636085,124.16444695401292,0.0968139640575879
VT,0,10.991148769001782,124.23230935406143,0.08847254652311956
PA,0,10.831696753531462,131.32885211244076,0.08247766259509838
RI,0,10.403651089011351,120.40011961245044,0.08640897635732515
MN,0,10.310374039099106,122.38235366103144,0.08424722789411508
KY,1,10.245313018700896,112.9856670070843,0.09067798854573746
WI,0,9.980879274385602,120.60447437475332,0.08275712262027769
NE,1,9.947698244843025,121.15296223404839,0.08210858456457418
WA,0,9.609519522586522,128.07757942348738,0.0750288970625587
MO,1,9.21984059123419,126.55268195136244,0.0728537748001075
MA,0,9.109991459345412,128.4045248333849,0.07094758904459443
CT,0,8.98456818948297,121.83855966416971,0.07374158242060334
IN,1,8.822047374657101,117.29045894685484,0.07521538796821005
IL,0,8.373406615717526,124.32337609575495,0.06735182777909969
VA,1,8.253179650363801,127.64090802684055,0.0646593617825745
NV,0,8.230555436821733,123.2162509561136,0.06679764538326394
DE,0,8.214532761281097,129.42571583152684,0.06346909274176961
NY,0,8.204821636719188,131.38756903543631,0.06244747274764083
CA,0,8.159905285747884,131.09319928315725,0.062245069388555715
OH,1,8.058631509390445,122.2139865646491,0.06593870092869908
FL,1,7.982547038795738,126.87406438797858,0.06291709087513155
MI,0,7.906110836046539,120.68383650444127,0.06551093390004706
OR,0,7.80365610063822,126.39723627978533,0.061739135524803056
CO,0,7.727683642399322,115.73934050637156,0.06676799443119262
KS,1,7.669364409737805,113.89740844039035,0.06733572356698234
ME,0,7.588065825566087,117.9477713386256,0.06433411788494849
ND,1,7.446181813972288,103.39289942873195,0.07201830933375548
MD,0,7.430476321489314,125.42738211300998,0.059241261328363375
TN,1,7.2779852012671595,119.41939828338728,0.06094474855748472
NC,1,7.246716491728167,113.46321147535352,0.06386842393670744
HI,0,7.241646642988284,122.9672149864195,0.0588908730167472
OK,1,7.238760361125618,130.19414675943972,0.05559973732537077
ID,1,7.0666082547482265,109.68782072192313,0.0644247301864375
GA,1,6.997355528556903,120.47869448872603,0.05807960949652961
NM,0,6.788189467096567,106.61952526998559,0.06366741410550537
SC,1,6.664708468127534,117.9860008586891,0.05648728170819013
AZ,1,6.188827180863342,119.389011997225,0.05183749389773987
WV,0,5.9416264335923055,107.64399415325563,0.05519700825234199
TX,1,5.821985398762445,115.15672820664376,0.050557058101851814
AK,0,5.784101130763461,104.35452056606269,0.05542741320057886
WY,1,5.773003992015968,140.70815431699933,0.041028212046688155
AR,1,5.669749120508982,110.72926840545512,0.05120370794601637
AL,1,5.615943073265353,115.62117102900453,0.04857192695147972
MS,1,5.550580785476619,116.36092632892687,0.047701414560643335
UT,1,5.147517314458049,112.91510322043573,0.045587500410896625
LA,1,5.0311758381389895,110.78633781611931,0.04541332385668008
SD,1,4.463900315984022,107.70998328256721,0.04144370075959803
