month,site,google_sessions_to_site,total_google_sessions,sessions_per_1000_google,all_sessions_to_site,total_sessions,sessions_per_1000_all,minutes_on_site,total_minutes,minutes_per_1000_all,google_trends_index
202201,pornhub,10784,4060665,2.655723,107928,36407523,2.964442,573619.18,120097189.6,4.776291,99
202201,xvideos,16094,4060665,3.96339,83486,36407523,2.293098,978008.88,120097189.6,8.143479,93
202201,xnxx,10106,4060665,2.488755,44142,36407523,1.212442,578177.5,120097189.6,4.814247,99
202201,xhamster,4450,4060665,1.09588,58350,36407523,1.602691,505226.5,120097189.6,4.206814,96
202201,chaturbate,1230,4060665,0.302906,115673,36407523,3.177173,898407.83,120097189.6,7.480673,80
202202,pornhub,10854,3638988,2.982697,94624,29265907,3.23325,471222.98,98540963.78,4.782001,93
202202,xvideos,13891,3638988,3.81727,70915,29265907,2.423127,795652.95,98540963.78,8.074337,93
202202,xnxx,8597,3638988,2.36247,37668,29265907,1.287095,475297.37,98540963.78,4.823348,92
202202,xhamster,3891,3638988,1.069253,47997,29265907,1.640031,396556.8,98540963.78,4.024284,89
202202,chaturbate,976,3638988,0.268206,117975,29265907,4.031141,749258.07,98540963.78,7.603519,79
202203,pornhub,11074,3370639,3.28543,99616,29466250,3.380681,466690.5,97910120.38,4.76652,82
202203,xvideos,14361,3370639,4.260616,73062,29466250,2.479515,815605.88,97910120.38,8.330149,82
202203,xnxx,9091,3370639,2.697115,40177,29466250,1.363492,497216.22,97910120.38,5.078292,86
202203,xhamster,4138,3370639,1.22766,51761,29466250,1.75662,381814.67,97910120.38,3.899645,85
202203,chaturbate,1167,3370639,0.346225,126789,29466250,4.302855,779856.02,97910120.38,7.965019,77
202204,pornhub,10066,2799799,3.595258,87754,25276952,3.4717,413525.53,80906468.49,5.111155,86
202204,xvideos,12934,2799799,4.619617,64812,25276952,2.564075,727328.22,80906468.49,8.989741,84
202204,xnxx,8252,2799799,2.947354,35309,25276952,1.396885,443834.48,80906468.49,5.485773,83
202204,xhamster,3010,2799799,1.075077,46437,25276952,1.837128,350246.45,80906468.49,4.329029,88
202204,chaturbate,930,2799799,0.332167,104784,25276952,4.145437,627874.17,80906468.49,7.760494,83
202205,pornhub,10349,2494460,4.148794,85929,23414708,3.669873,437293.25,78511842.23,5.569774,93
202205,xvideos,12268,2494460,4.918099,64183,23414708,2.74114,700166.6,78511842.23,8.917974,90
202205,xnxx,7794,2494460,3.124524,34911,23414708,1.490986,420689.08,78511842.23,5.358288,94
202205,xhamster,3172,2494460,1.271618,45669,23414708,1.950441,368069.35,78511842.23,4.688074,92
202205,chaturbate,942,2494460,0.377637,94872,23414708,4.051812,635225.3,78511842.23,8.090821,90
202206,pornhub,9645,2267926,4.252784,81492,22096782,3.687958,608453.1,74376979.52,8.180664,100
202206,xvideos,11474,2267926,5.059248,59191,22096782,2.678716,652843.48,74376979.52,8.777494,96
202206,xnxx,7343,2267926,3.23776,34218,22096782,1.548551,401162.27,74376979.52,5.393635,97
202206,xhamster,3140,2267926,1.384525,39909,22096782,1.8061,301034.62,74376979.52,4.047417,99
202206,chaturbate,1017,2267926,0.448427,97656,22096782,4.419467,553640.58,74376979.52,7.443709,94
202207,pornhub,10978,2297354,4.778541,84084,21012083,4.001697,625696.52,64495665.19,9.701373,100
202207,xvideos,11323,2297354,4.928714,60680,21012083,2.887862,668107.12,64495665.19,10.358946,100
202207,xnxx,8019,2297354,3.490537,35912,21012083,1.709112,422898.8,64495665.19,6.557011,100
202207,xhamster,3413,2297354,1.485622,43822,21012083,2.085562,359792.83,64495665.19,5.578558,100
202207,chaturbate,1084,2297354,0.471847,97353,21012083,4.633191,504156.77,64495665.19,7.816909,98
202208,pornhub,11219,2338668,4.797175,84001,21560988,3.895972,793013.63,67936483.58,11.672868,98
202208,xvideos,9930,2338668,4.246007,58145,21560988,2.696769,623685.58,67936483.58,9.180422,95
202208,xnxx,8306,2338668,3.551594,35687,21560988,1.655165,409751.23,67936483.58,6.031387,94
202208,xhamster,3428,2338668,1.465792,41612,21560988,1.929967,336271.2,67936483.58,4.949788,96
202208,chaturbate,947,2338668,0.404931,92652,21560988,4.297206,489333.35,67936483.58,7.202807,96
202209,pornhub,10369,2262189,4.583613,78118,20542311,3.802785,774447.83,65352872.85,11.850249,92
202209,xvideos,10001,2262189,4.420939,55206,20542311,2.687429,613902.65,65352872.85,9.39366,87
202209,xnxx,7530,2262189,3.328634,33388,20542311,1.625328,376070.73,65352872.85,5.754464,92
202209,xhamster,3559,2262189,1.573255,39313,20542311,1.913757,336864.28,65352872.85,5.154544,88
202209,chaturbate,987,2262189,0.436303,36945,20542311,1.798483,402435.28,65352872.85,6.157882,91
202210,pornhub,10091,2145511,4.703308,76115,19901965,3.824497,757049.65,62973556.27,12.021707,91
