time_id,date,threshold_minutes,num_persons,share_of_all
8037,2022-01-02,10,3174,1.1135201128254784
8037,2022-01-02,30,1526,0.5353597013773409
8037,2022-01-02,60,785,0.27539801152110915
8037,2022-01-02,120,323,0.11331663403989586
8037,2022-01-02,300,82,0.02876769037545344
8038,2022-01-03,10,5412,1.8986675647799272
8038,2022-01-03,30,2803,0.9833638551511706
8038,2022-01-03,60,1550,0.5437795131945468
8038,2022-01-03,120,718,0.2518927035314094
8038,2022-01-03,300,197,0.06911262199956497
8039,2022-01-04,10,7335,2.573304986633549
8039,2022-01-04,30,3988,1.3990920636257114
8039,2022-01-04,60,2268,0.7956722167259561
8039,2022-01-04,120,1090,0.38239978669810065
8039,2022-01-04,300,324,0.11366745953227946
8040,2022-01-05,10,8822,3.09498249380793
8040,2022-01-05,30,4968,1.7429010461616183
8040,2022-01-05,60,2939,1.0310761221153373
8040,2022-01-05,120,1479,0.5188709032353127
8040,2022-01-05,300,458,0.16067807551167898
8041,2022-01-06,10,10101,3.5436882985665266
8041,2022-01-06,30,5844,2.0502241774896333
8041,2022-01-06,60,3552,1.2461321489464712
8041,2022-01-06,120,1859,0.6521845903410726
8041,2022-01-06,300,592,0.20768869149107852
8042,2022-01-07,10,11200,3.9292455146960803
8042,2022-01-07,30,6638,2.3287796184421947
8042,2022-01-07,60,4110,1.441892773696508
8042,2022-01-07,120,2236,0.7844458009696816
8042,2022-01-07,300,772,0.27083728012012265
8043,2022-01-08,10,12226,4.289192469881631
8043,2022-01-08,30,7358,2.5813739729583713
8043,2022-01-08,60,4638,1.6271286336750372
8043,2022-01-08,120,2607,0.9146020586439892
8043,2022-01-08,300,954,0.33468751973393396
8044,2022-01-09,10,13196,4.629493197493702
8044,2022-01-09,30,8105,2.843440615768904
8044,2022-01-09,60,5164,1.8116628426687997
8044,2022-01-09,120,2957,1.0373909809782418
8044,2022-01-09,300,1114,0.39081959851530645
8045,2022-01-10,10,14038,4.924888262080676
8045,2022-01-10,30,8736,3.0648115014629425
8045,2022-01-10,60,5657,1.984619810413904
