platform,age_group,visitors,share,total_with_age,total_visitors
mobile,18-24,1218,0.10795001329433661,11283,11283
mobile,25-34,2296,0.20349197908357705,11283,11283
mobile,35-44,2800,0.24816095010192324,11283,11283
mobile,45-54,2051,0.1817778959496588,11283,11283
mobile,55-64,1771,0.15696180093946646,11283,11283
mobile,65+,1147,0.10165736063103785,11283,11283
desktop,18-24,4536,0.1077102082492342,42113,42113
desktop,25-34,4378,0.10395839764443283,42113,42113
desktop,35-44,5198,0.12342981977061715,42113,42113
desktop,45-54,14441,0.34291074015149714,42113,42113
desktop,55-64,7380,0.17524279913565882,42113,42113
desktop,65+,6180,0.14674803504855982,42113,42113
