gender,age_group,visitors,share_of_all,share_within_gender
Male,18-24,804,0.07125764424355224,0.11536805854498493
Male,25-34,1016,0.09004697332269787,0.14578849189266752
Male,35-44,1327,0.11761056456616148,0.19041469364327737
Male,45-54,1340,0.11876274040592041,0.19228009757497488
Male,55-64,1470,0.1302844988035097,0.21093413689195006
Male,65+,1012,0.08969245767969512,0.14521452145214522
Female,18-24,414,0.036692369050784365,0.09596662030598054
Female,25-34,1280,0.1134450057608792,0.296708391284191
Female,35-44,1473,0.13055038553576176,0.34144645340751045
Female,45-54,711,0.06301515554373836,0.16481223922114047
Female,55-64,301,0.02667730213595675,0.06977283263792304
Female,65+,135,0.011964902951342728,0.03129346314325452
