top_web_name,sessions,unique_machines,platform,session_share,cumulative_session_share
PORNHUB.COM,50384,5893,mobile,0.1439398917251132,0.1439398917251132
XVIDEOS.COM,47216,4658,mobile,0.13488936820603653,0.2788292599311497
XNXX.COM,38720,4138,mobile,0.11061750967760367,0.38944676960875335
XHAMSTER.COM,13387,2221,mobile,0.038244746953876044,0.4276915165626294
CHATURBATE.COM,13191,2387,mobile,0.0376848029482766,0.46537631951090597
STRIPCHAT.COM,9203,2659,mobile,0.026291656548630853,0.4916679760595368
LIVEJASMIN.COM,7192,1444,mobile,0.020546516776893738,0.5122144928364306
FAPHOUSE.COM,5104,828,mobile,0.014581399002956847,0.5267958918393875
SPANKBANG.COM,4709,880,mobile,0.01345294042024369,0.5402488322596312
"Various, Inc",4197,1247,mobile,0.011990229548473725,0.5522390618081049
REDTUBE.COM,4149,868,mobile,0.01185310040424529,0.5640921622123501
YOUPORN.COM,3969,1148,mobile,0.01133886611338866,0.5754310283257388
FETLIFE.COM,3299,134,mobile,0.009424771808533433,0.5848558001342722
LITEROTICA.COM,2507,247,mobile,0.007162140928764266,0.5920179410630364
SKIPTHEGAMES.COM,2240,138,mobile,0.006399360063993601,0.59841730112703
PHNCDN.COM,2135,532,mobile,0.006099390060993901,0.6045166911880239
MYFREECAMS.COM,1884,601,mobile,0.005382318910966046,0.60989901009899
XHAMSTERLIVE.COM,1789,462,mobile,0.005110917479680603,0.6150099275786706
RULE34.XXX,1775,180,mobile,0.005070921479280644,0.6200808490579512
BANGCREATIVES.COM,1580,498,mobile,0.004513834330852629,0.6245946833888039
BONGACAMS.COM,1573,637,mobile,0.004493836330652649,0.6290885197194566
CAMSCHAT.NET,1554,497,mobile,0.00443955604439556,0.6335280757638522
CAMSODA.COM,1528,510,mobile,0.004365277757938492,0.6378933535217907
BRAZZERSNETWORK.COM,1410,933,mobile,0.0040281686117102575,0.641921522133501
JERKMATE.COM,1407,896,mobile,0.00401959804019598,0.645941120173697
CHATURBATE.COM,115645,18672,desktop,0.10487934499495759,0.10487934499495759
PORNHUB.COM,104127,20698,desktop,0.09443358170513165,0.19931292670008924
XVIDEOS.COM,81906,13809,desktop,0.07428118492937003,0.27359411162945924
XHAMSTER.COM,48078,7775,desktop,0.04360231007538217,0.3171964217048414
XNXX.COM,43431,8514,desktop,0.039387909831605374,0.3565843315364468
FAPHOUSE.COM,34514,6076,desktop,0.031301013560084454,0.3878853450965313
LIVEJASMIN.COM,25143,7336,desktop,0.02280238117694858,0.4106877262734799
SPANKBANG.COM,18476,3979,desktop,0.01675602730880571,0.4274437535822856
BANGCREATIVES.COM,17414,6643,desktop,0.015792891294411273,0.44323664487669684
STRIPCHAT.COM,16905,6224,desktop,0.015331275257380416,0.45856792013407727
RULE34.XXX,13239,2359,desktop,0.012006551501476446,0.4705744716355537
XHAMSTERLIVE.COM,9429,1981,desktop,0.008551233031756282,0.47912570466730997
CAMSCHAT.NET,8610,3687,desktop,0.007808475596926671,0.4869341802642366
YOUPORN.COM,7895,2562,desktop,0.007160036566519868,0.4940942168307565
BONGACAMS.COM,7791,3481,desktop,0.007065718162097061,0.5011599349928536
F95ZONE.TO,7185,743,desktop,0.00651613207478724,0.5076760670676408
GAMCORE.COM,6642,1179,desktop,0.006023681174772004,0.5136997482424128
NHENTAI.NET,6515,1110,desktop,0.005908503892447998,0.5196082521348608
"Various, Inc",6355,1535,desktop,0.0057633986548744475,0.5253716507897352
MYFREECAMS.COM,6003,1482,desktop,0.005444167132212637,0.5308158179219479
NUTAKU.NET,5695,1509,desktop,0.005164839549883553,0.5359806574718314
LITEROTICA.COM,5571,575,desktop,0.005052382990764052,0.5410330404625955
JERKMATE.COM,5330,2799,desktop,0.004833818226668891,0.5458668586892643
E621.NET,5294,536,desktop,0.0048011695482148425,0.5506680282374792
HANIME.TV,5088,1219,desktop,0.004614346554838897,0.5552823747923181
