pages,period,count,share
1.0,pre,57410,0.06444421495024966
2.0,pre,85607,0.09609607924135206
3.0,pre,43105,0.04838648119544524
4.0,pre,60954,0.06842244692697295
5.0,pre,45029,0.050546221128632496
6.0,pre,50253,0.05641029670605984
7.0,pre,40921,0.045934884514529976
8.0,pre,40532,0.04549822191889077
9.0,pre,34215,0.038407225475052986
10.0,pre,32426,0.036399026545493735
11.0,pre,28494,0.03198525449908402
12.0,pre,26640,0.029904091382592767
13.0,pre,23822,0.026740813247602285
14.0,pre,22083,0.024788740615683036
15.0,pre,20021,0.022474092101009376
16.0,pre,18398,0.020652232479614927
17.0,pre,16605,0.018639543446244477
18.0,pre,15276,0.01714770645497324
19.0,pre,14205,0.01594548115952441
20.0,pre,12880,0.01445813427206437
21.0,pre,11909,0.013368161571895543
22.0,pre,11067,0.012422994719637918
23.0,pre,10103,0.01134087970113869
24.0,pre,9461,0.010620218039441073
25.0,pre,8715,0.00978281367865225
26.0,pre,8044,0.00902959876432343
27.0,pre,7621,0.008554770286289018
28.0,pre,6875,0.007717365925500198
29.0,pre,6479,0.007272845648191386
30.0,pre,6162,0.006917004921153777
31.0,pre,5785,0.006493812636948166
32.0,pre,5130,0.005758558137864148
33.0,pre,4957,0.005564361148029742
34.0,pre,4558,0.005116473292862531
35.0,pre,4248,0.0047684902474945225
36.0,pre,4040,0.004535004849312116
37.0,pre,3748,0.004207227271094508
38.0,pre,3597,0.004037725852221704
39.0,pre,3314,0.003720051007579295
40.0,pre,3281,0.0036830076511368943
41.0,pre,2923,0.003281143360034484
42.0,pre,2806,0.003149807823556881
43.0,pre,2667,0.0029937767161176765
44.0,pre,2479,0.002782741836991271
45.0,pre,2393,0.0026862046050504687
46.0,pre,2155,0.002419043428284062
47.0,pre,2146,0.0024089406947088617
48.0,pre,2049,0.002300055677287259
49.0,pre,2015,0.002261889794892058
50.0,pre,1819,0.0020418747081432523
51.0,pre,1740,0.00195319515787205
52.0,pre,1570,0.0017623657458960451
53.0,pre,1564,0.0017556305901792449
54.0,pre,1494,0.001677053773483243
55.0,pre,1385,0.0015546984446280399
56.0,pre,1280,0.0014368332195840367
57.0,pre,1340,0.0015041847767520385
58.0,pre,1234,0.0013851970257552355
59.0,pre,1185,0.001330193254068034
60.0,pre,1154,0.0012953949495312332
61.0,pre,1059,0.0011887549840152304
62.0,pre,1081,0.001213450554976831
63.0,pre,986,0.0011068105894608284
64.0,pre,1021,0.0011460989978088294
65.0,pre,909,0.0010203760910952261
66.0,pre,877,0.0009844552606056252
67.0,pre,847,0.0009507794820216243
68.0,pre,809,0.0009081234958152232
69.0,pre,741,0.0008317917310248213
70.0,pre,712,0.0007992384783936205
71.0,pre,715,0.0008026060562520206
72.0,pre,759,0.0008519971981752218
73.0,pre,688,0.0007722978555264198
74.0,pre,607,0.0006813732533496174
75.0,pre,622,0.0006982111426416178
76.0,pre,621,0.0006970886166888179
77.0,pre,561,0.0006297370595208161
78.0,pre,599,0.0006723930457272172
79.0,pre,532,0.0005971838068896153
80.0,pre,528,0.0005926937030784152
81.0,pre,483,0.0005421800352024139
82.0,pre,462,0.0005186069901936133
83.0,pre,405,0.00045462301088401166
84.0,pre,405,0.00045462301088401166
85.0,pre,422,0.0004737059520816121
86.0,pre,436,0.0004894213154208125
87.0,pre,390,0.0004377851215920112
88.0,pre,393,0.00044115269945041127
89.0,pre,363,0.00040747692086641046
90.0,pre,342,0.00038390387585760985
91.0,pre,349,0.00039176155752721
92.0,pre,331,0.0003715560903768095
93.0,pre,304,0.00034124788965120875
94.0,pre,313,0.000351350623226409
95.0,pre,322,0.0003614533568016093
96.0,pre,310,0.0003479830453680089
97.0,pre,292,0.0003277775782176084
98.0,pre,280,0.000314307266784008
99.0,pre,256,0.00028736664391680735
100.0,pre,269,0.0003019594813032077
101.0,pre,260,0.00029185674772800745
102.0,pre,262,0.00029410179963360755
103.0,pre,214,0.00024022055389920615
104.0,pre,240,0.0002694062286720069
105.0,pre,221,0.00024807823556880637
106.0,pre,212,0.0002379755019936061
107.0,pre,212,0.0002379755019936061
108.0,pre,191,0.00021440245698480548
109.0,pre,216,0.0002424656058048062
110.0,pre,183,0.00020542224936240526
111.0,pre,186,0.00020878982722080533
112.0,pre,213,0.00023909802794640613
113.0,pre,191,0.00021440245698480548
114.0,pre,155,0.00017399152268400444
115.0,pre,177,0.0001986870936456051
116.0,pre,152,0.00017062394482560437
117.0,pre,190,0.00021327993103200545
118.0,pre,160,0.0001796041524480046
119.0,pre,139,0.000156031107439204
120.0,pre,167,0.0001874618341176048
121.0,pre,157,0.00017623657458960452
122.0,pre,155,0.00017399152268400444
123.0,pre,150,0.0001683788929200043
124.0,pre,152,0.00017062394482560437
125.0,pre,131,0.00014705089981680377
126.0,pre,151,0.00016950141887280435
127.0,pre,124,0.00013919321814720356
128.0,pre,127,0.00014256079600560365
129.0,pre,118,0.0001324580624304034
130.0,pre,111,0.0001246003807608032
131.0,pre,111,0.0001246003807608032
132.0,pre,114,0.00012796795861920327
133.0,pre,121,0.00013582564028880349
134.0,pre,114,0.00012796795861920327
135.0,pre,96,0.00010776249146880276
136.0,pre,139,0.000156031107439204
137.0,pre,128,0.00014368332195840368
138.0,pre,113,0.00012684543266640324
139.0,pre,153,0.0001717464707784044
140.0,pre,139,0.000156031107439204
141.0,pre,144,0.00016164373720320413
142.0,pre,166,0.00018633930816480478
143.0,pre,143,0.0001605212112504041
144.0,pre,185,0.0002076673012680053
145.0,pre,115,0.00012909048457200332
146.0,pre,111,0.0001246003807608032
147.0,pre,89,9.990480979920256e-05
148.0,pre,123,0.00013807069219440353
149.0,pre,79,8.867955027120227e-05
150.0,pre,104,0.00011674269909120299
151.0,pre,94,0.0001055174395632027
152.0,pre,94,0.0001055174395632027
153.0,pre,71,7.969934264880204e-05
154.0,pre,108,0.0001212328029024031
155.0,pre,103,0.00011562017313840296
156.0,pre,100,0.00011225259528000287
157.0,pre,58,6.510650526240167e-05
158.0,pre,59,6.62290312152017e-05
159.0,pre,79,8.867955027120227e-05
160.0,pre,43,4.826861597040124e-05
161.0,pre,67,7.520923883760192e-05
162.0,pre,75,8.418944646000215e-05
163.0,pre,88,9.878228384640252e-05
164.0,pre,81,9.092460217680233e-05
165.0,pre,82,9.204712812960235e-05
166.0,pre,68,7.633176479040196e-05
167.0,pre,58,6.510650526240167e-05
168.0,pre,71,7.969934264880204e-05
169.0,pre,59,6.62290312152017e-05
170.0,pre,84,9.429218003520242e-05
171.0,pre,103,0.00011562017313840296
172.0,pre,72,8.082186860160207e-05
173.0,pre,75,8.418944646000215e-05
174.0,pre,113,0.00012684543266640324
175.0,pre,91,0.00010214986170480262
176.0,pre,104,0.00011674269909120299
177.0,pre,85,9.541470598800244e-05
178.0,pre,127,0.00014256079600560365
179.0,pre,90,0.00010102733575200258
180.0,pre,90,0.00010102733575200258
181.0,pre,82,9.204712812960235e-05
182.0,pre,122,0.0001369481662416035
183.0,pre,127,0.00014256079600560365
184.0,pre,91,0.00010214986170480262
185.0,pre,104,0.00011674269909120299
186.0,pre,135,0.00015154100362800387
187.0,pre,136,0.00015266352958080392
188.0,pre,111,0.0001246003807608032
189.0,pre,143,0.0001605212112504041
190.0,pre,95,0.00010663996551600273
191.0,pre,93,0.00010439491361040267
192.0,pre,120,0.00013470311433600346
193.0,pre,111,0.0001246003807608032
194.0,pre,103,0.00011562017313840296
195.0,pre,92,0.00010327238765760264
196.0,pre,97,0.00010888501742160279
197.0,pre,63,7.071913502640181e-05
198.0,pre,60,6.735155716800173e-05
199.0,pre,72,8.082186860160207e-05
200.0,pre,87,9.76597578936025e-05
201.0,pre,56,6.286145335680161e-05
202.0,pre,54,6.061640145120155e-05
203.0,pre,49,5.5003771687201405e-05
204.0,pre,58,6.510650526240167e-05
205.0,pre,63,7.071913502640181e-05
206.0,pre,63,7.071913502640181e-05
207.0,pre,33,3.704335644240095e-05
208.0,pre,61,6.847408312080175e-05
209.0,pre,22,2.469557096160063e-05
210.0,pre,43,4.826861597040124e-05
211.0,pre,30,3.3675778584000865e-05
212.0,pre,20,2.2450519056000574e-05
213.0,pre,45,5.051366787600129e-05
214.0,pre,12,1.3470311433600345e-05
215.0,pre,15,1.6837889292000433e-05
216.0,pre,8,8.98020762240023e-06
217.0,pre,7,7.857681669600201e-06
218.0,pre,17,1.908294119760049e-05
219.0,pre,5,5.612629764000143e-06
220.0,pre,8,8.98020762240023e-06
221.0,pre,7,7.857681669600201e-06
222.0,pre,17,1.908294119760049e-05
223.0,pre,7,7.857681669600201e-06
224.0,pre,10,1.1225259528000287e-05
225.0,pre,14,1.5715363339200403e-05
226.0,pre,7,7.857681669600201e-06
229.0,pre,1,1.1225259528000287e-06
233.0,pre,7,7.857681669600201e-06
1.0,post,10533,0.15234307202776975
2.0,post,10220,0.14781602545559733
3.0,post,4597,0.06648828463986114
4.0,post,3912,0.05658085044836564
5.0,post,2962,0.04284061324848134
6.0,post,2996,0.04333236910616141
7.0,post,2462,0.035608909459068555
8.0,post,2267,0.03278854498119757
9.0,post,2026,0.029302863754700606
10.0,post,1873,0.027089962395140294
11.0,post,1689,0.02442869540063639
12.0,post,1493,0.021593867515186577
13.0,post,1373,0.01985825860572751
14.0,post,1372,0.019843795198148682
15.0,post,1202,0.017385015909748336
16.0,post,1136,0.01643043100954585
17.0,post,1041,0.01505640728955742
18.0,post,936,0.013537749493780735
19.0,post,946,0.01368238356956899
20.0,post,808,0.011686433323691061
21.0,post,723,0.010457043679490888
22.0,post,712,0.010297946196123807
23.0,post,697,0.010080995082441424
24.0,post,592,0.008562337286664739
25.0,post,572,0.008273069135088226
26.0,post,551,0.00796933757593289
