yyyymm,state,period,n_sessions,n_pages_eq_1,share_pages_eq_1
202201,AL,pre,1214.0,83.0,0.06836902800658978
202201,AR,pre,729.0,67.0,0.09190672153635117
202201,AZ,pre,1630.0,133.0,0.08159509202453988
202201,FL,pre,6458.0,419.0,0.06488076803964075
202201,GA,pre,3280.0,236.0,0.07195121951219512
202201,ID,pre,356.0,19.0,0.05337078651685393
202201,IN,pre,1332.0,93.0,0.06981981981981981
202201,KS,pre,522.0,44.0,0.0842911877394636
202201,KY,pre,927.0,60.0,0.06472491909385113
202201,LA,pre,1320.0,109.0,0.08257575757575758
202201,MO,pre,2266.0,176.0,0.07766990291262135
202201,MS,pre,426.0,30.0,0.07042253521126761
202201,MT,pre,403.0,30.0,0.07444168734491315
202201,NC,pre,2937.0,194.0,0.06605379639087504
202201,ND,pre,259.0,17.0,0.06563706563706563
202201,NE,pre,492.0,23.0,0.046747967479674794
202201,OH,pre,3692.0,257.0,0.06960996749729144
202201,OK,pre,1113.0,71.0,0.0637915543575921
202201,SC,pre,1310.0,100.0,0.07633587786259542
202201,SD,pre,285.0,19.0,0.06666666666666667
202201,TN,pre,1896.0,132.0,0.06962025316455696
202201,TX,pre,7265.0,494.0,0.06799724707501721
202201,UT,pre,744.0,52.0,0.06989247311827956
202201,VA,pre,3972.0,299.0,0.07527693856998993
202201,WY,pre,61.0,1.0,0.01639344262295082
202202,AL,pre,995.0,58.0,0.05829145728643216
202202,AR,pre,620.0,62.0,0.1
202202,AZ,pre,1420.0,107.0,0.07535211267605633
202202,FL,pre,5386.0,375.0,0.06962495358336428
202202,GA,pre,2654.0,218.0,0.08214016578749057
202202,ID,pre,289.0,14.0,0.04844290657439446
202202,IN,pre,1235.0,95.0,0.07692307692307693
202202,KS,pre,306.0,21.0,0.06862745098039216
202202,KY,pre,903.0,50.0,0.05537098560354374
202202,LA,pre,1117.0,96.0,0.08594449418084155
202202,MO,pre,2068.0,137.0,0.06624758220502901
202202,MS,pre,430.0,38.0,0.08837209302325581
202202,MT,pre,458.0,27.0,0.05895196506550218
