"period","beta_m","se_m","ci_lo_m","ci_hi_m","ctrl_post_mean","pct_change","pct_ci_lo","pct_ci_hi","site","bucket","bucket_label","share_sessions","share_minutes","is_total"
"short",0.00215750294965866,0.000539624822048329,0.00106411920236091,0.00325088669695641,0.0109035044833158,0.197872432020366,0.0975942371545954,0.298150626886138,"Pornhub",1,"[0,1]",0.201560461263102,0.0105083489297407,FALSE
"long",-0.00100252987220845,0.000506980665472074,-0.00202977027548945,2.47105310725517e-05,0.0107312436865441,-0.0934215922675877,-0.189145856228628,0.00230267169345303,"Pornhub",1,"[0,1]",0.201560461263102,0.0105083489297407,FALSE
"short",-0.067193608505307,0.00659426851634374,-0.0805548656723128,-0.0538323513383012,0.151544737661358,-0.443391235764703,-0.531558316807549,-0.355224154721856,"Pornhub",2,"(1,5]",0.375615280643526,0.144359692279469,FALSE
"long",-0.0884270810387691,0.00607810116386938,-0.10074248380653,-0.0761116782710085,0.150646237487889,-0.586984995532188,-0.668735479136205,-0.50523451192817,"Pornhub",2,"(1,5]",0.375615280643526,0.144359692279469,FALSE
"short",-0.126293109845575,0.00827894912827423,-0.143067854171085,-0.109518365520064,0.221067305188929,-0.571288050657882,-0.647168761788706,-0.495407339527059,"Pornhub",3,"(5,10]",0.189305846327733,0.196600093837004,FALSE
"long",-0.145566414206685,0.00943142599089233,-0.164676298465047,-0.126456529948322,0.22064395873311,-0.65973442029637,-0.746344016897554,-0.573124823695186,"Pornhub",3,"(5,10]",0.189305846327733,0.196600093837004,FALSE
"short",-0.118779729518952,0.00991839081003983,-0.138876298223632,-0.0986831608142718,0.193210208566562,-0.614769428593787,-0.718783439311842,-0.510755417875733,"Pornhub",4,"(10,15]",0.0928593068965074,0.164209788894615,FALSE
"long",-0.131860952476452,0.0144079568951142,-0.161054246144981,-0.102667658807923,0.190962269016581,-0.690507884911039,-0.843382553916956,-0.537633215905121,"Pornhub",4,"(10,15]",0.0928593068965074,0.164209788894615,FALSE
"short",-0.076325381764599,0.00495281824280126,-0.086360744758916,-0.066290018770282,0.142621385542398,-0.53516084894512,-0.605524511141725,-0.464797186748516,"Pornhub",5,"(15,20]",0.0472051998250204,0.118561119609759,FALSE
"long",-0.0813919721877755,0.00735857321884744,-0.096301857782452,-0.0664820865930989,0.142355459174888,-0.571751674712965,-0.676488687828558,-0.467014661597372,"Pornhub",5,"(15,20]",0.0472051998250204,0.118561119609759,FALSE
"short",-0.0647462217514692,0.00926174187922696,-0.0835122933416799,-0.0459801501612584,0.113497569382041,-0.570463509518243,-0.735806888168431,-0.405120130868055,"Pornhub",6,"(20,25]",0.0276650576503325,0.0897768057562653,FALSE
"long",-0.0727921414068794,0.012078114753535,-0.0972647264880926,-0.0483195563256661,0.110602427709964,-0.65814234745158,-0.879408603427339,-0.436876091475821,"Pornhub",6,"(20,25]",0.0276650576503325,0.0897768057562653,FALSE
"short",-0.177060098214747,0.0248973469082287,-0.227506914869621,-0.126613281559873,0.357590915822,-0.495147081149239,-0.636221181253015,-0.354072981045462,"Pornhub",7,"(25,29.4]
(win.)",0.0657888473937789,0.275984150693147,FALSE
"long",-0.177127029111637,0.0262695750467483,-0.230354244078336,-0.123899814144938,0.354061605984727,-0.500271777898668,-0.650604979993998,-0.349938575803338,"Pornhub",7,"(25,29.4]
(win.)",0.0657888473937789,0.275984150693147,FALSE
"short",-0.628240646649317,0.050324164999294,-0.73020709047912,-0.526274202819514,1.19043562664666,-0.527740125200226,-0.613394856583755,-0.442085393816697,"Pornhub",8,"Total
min",NA,NA,TRUE
"long",-0.698168120297222,0.061208385832687,-0.82218809034559,-0.574148150248854,1.18000320179558,-0.591666293137881,-0.696767677489762,-0.486564908785999,"Pornhub",8,"Total
min",NA,NA,TRUE
"short",0.00310450408179771,0.000619026353058428,0.00185023755081433,0.00435877061278109,0.0102808636061613,0.301969192543046,0.179969078639025,0.423969306447067,"Xvideos",1,"[0,1]",0.28505073988513,0.0139015566327777,FALSE
"long",0.00466063113344788,0.000854703913276428,0.0029288365062457,0.00639242576065007,0.0110041865625015,0.423532544361774,0.266156565922481,0.580908522801066,"Xvideos",1,"[0,1]",0.28505073988513,0.0139015566327777,FALSE
"short",0.0306817586937965,0.0038748594151235,0.0228305477515759,0.0385329696360171,0.0657630146822493,0.466550367893613,0.34716394711963,0.585936788667595,"Xvideos",2,"(1,5]",0.341243507305661,0.116910718801408,FALSE
"long",0.0411289617209234,0.0055499518673352,0.0298836910771545,0.0523742323646923,0.0637371747942847,0.645290003105244,0.468858106334424,0.821721899876063,"Xvideos",2,"(1,5]",0.341243507305661,0.116910718801408,FALSE
"short",0.0307679124627936,0.00643277993351467,0.0177338622451813,0.0438019626804059,0.066379884399205,0.463512594836066,0.267157172774373,0.659868016897759,"Xvideos",3,"(5,10]",0.131499438403398,0.131347679835117,FALSE
"long",0.0352211249069446,0.00719360808995129,0.0206454904131001,0.0497967594007891,0.0590634376428385,0.59632703941023,0.349547727613572,0.843106351206889,"Xvideos",3,"(5,10]",0.131499438403398,0.131347679835117,FALSE
"short",0.0276001754348497,0.00738750804634099,0.0126316623107867,0.0425686885589127,0.0653266333456032,0.422494992032331,0.193361599456079,0.651628384608584,"Xvideos",4,"(10,15]",0.0821488304566835,0.138853608470374,FALSE
"long",0.0386856276599658,0.012692464143383,0.0129682524753761,0.0644030028445556,0.0567879540992718,0.681229466241008,0.228362734334575,1.13409619814744,"Xvideos",4,"(10,15]",0.0821488304566835,0.138853608470374,FALSE
"short",0.0220498606113417,0.00529738080346344,0.011316347553569,0.0327833736691144,0.0471182792836076,0.46796829057832,0.240168947712528,0.695767633444113,"Xvideos",5,"(15,20]",0.0438413207574933,0.105644372138613,FALSE
"long",0.0352945663530472,0.00907855421555601,0.0168996682262865,0.053689464479808,0.0408526638065751,0.863947734721933,0.413673593141962,1.3142218763019,"Xvideos",5,"(15,20]",0.0438413207574933,0.105644372138613,FALSE
"short",0.0190257531343193,0.00598164409809102,0.00690579094624471,0.0311457153223939,0.0394073218980954,0.482797414742331,0.175241315918463,0.790353513566198,"Xvideos",6,"(20,25]",0.0298529058332475,0.0928419341535219,FALSE
"long",0.0212458169156135,0.00680805367306271,0.00745138987535617,0.0350402439558708,0.0335013323501193,0.634178267705159,0.222420702480796,1.04593583292952,"Xvideos",6,"(20,25]",0.0298529058332475,0.0928419341535219,FALSE
