"period","beta_m","se_m","ci_lo_m","ci_hi_m","ctrl_post_mean","pct_change","pct_ci_lo","pct_ci_hi","site","bucket","bucket_label","share_sessions","share_minutes","is_total"
"short",-0.0452767285785925,0.00627238603668628,-0.0579857898913353,-0.0325676672658497,0.0858514423175001,-0.527384600146237,-0.675420101585356,-0.379349098707117,"Pornhub",1,"12–2am",0.0722965186983895,0.0763306868533377,FALSE
"long",-0.0532245109305991,0.00633071344366715,-0.0660517547957546,-0.0403972670654437,0.0834089014499858,-0.638115476949591,-0.791902946178484,-0.484328007720699,"Pornhub",1,"12–2am",0.0722965186983895,0.0763306868533377,FALSE
"short",-0.0349978403325223,0.00595058077282401,-0.0470548622450642,-0.0229408184199804,0.0548069611362081,-0.638565605663567,-0.858556308716367,-0.418574902610766,"Pornhub",2,"2–4am",0.0432182203136401,0.0484362767171132,FALSE
"long",-0.0413363344553788,0.00601900334954156,-0.0535319936771668,-0.0291406752335907,0.0524317195711967,-0.788384107815659,-1.02098489454415,-0.555783321087167,"Pornhub",2,"2–4am",0.0432182203136401,0.0484362767171132,FALSE
"short",-0.0231626555189021,0.00647355713244453,-0.0362793281896496,-0.0100459828481547,0.0481432974776709,-0.481119007887755,-0.753569657468437,-0.208668358307074,"Pornhub",3,"4–6am",0.0413132932212108,0.0453652541279237,FALSE
"long",-0.0250556420219295,0.00693692404541895,-0.0391111852393627,-0.0110000988044962,0.0446731025618662,-0.560866395774298,-0.875497402160484,-0.246235389388112,"Pornhub",3,"4–6am",0.0413132932212108,0.0453652541279237,FALSE
"short",-0.0359592559086881,0.00639622177098566,-0.0489192322529219,-0.0229992795644542,0.0583006253188087,-0.616790226726557,-0.839085892911337,-0.394494560541777,"Pornhub",4,"6–8am",0.0536051069191418,0.0588247508787983,FALSE
"long",-0.0422261235410762,0.00561520590883368,-0.0536036114319115,-0.0308486356502409,0.0588314777347958,-0.717747117137288,-0.911138279979117,-0.524355954295459,"Pornhub",4,"6–8am",0.0536051069191418,0.0588247508787983,FALSE
"short",-0.0340077010584329,0.0042751102666628,-0.0426698972593634,-0.0253455048575023,0.0743180651061403,-0.457596696171562,-0.574152424426318,-0.341040967916807,"Pornhub",5,"8–10am",0.0696280258535788,0.0732231488501484,FALSE
"long",-0.0440428538028963,0.00369522993793082,-0.0515301008522912,-0.0365556067535013,0.0719368606147273,-0.612243200864392,-0.716324015420568,-0.508162386308215,"Pornhub",5,"8–10am",0.0696280258535788,0.0732231488501484,FALSE
"short",-0.0412656216237043,0.00646127221560061,-0.0543574026885336,-0.0281738405588749,0.0834140722938031,-0.494708152820516,-0.651657462509139,-0.337758843131892,"Pornhub",6,"10am–12pm",0.0790749091895039,0.079144794027958,FALSE
"long",-0.0467181420845495,0.00524116978080708,-0.0573377607918767,-0.0360985233772222,0.0818754496213906,-0.570600128617113,-0.700304682991282,-0.440895574242944,"Pornhub",6,"10am–12pm",0.0790749091895039,0.079144794027958,FALSE
"short",-0.0445825644483687,0.00399030634670587,-0.0526676930932413,-0.036497435803496,0.0932815532811861,-0.477935485422074,-0.56460994956292,-0.391261021281227,"Pornhub",7,"12–2pm",0.0893840436687839,0.08689147037068,FALSE
"long",-0.0541944633276619,0.00643942319489142,-0.0672419740714058,-0.0411469525839181,0.0898213110281009,-0.603358631791814,-0.748619378872893,-0.458097884710736,"Pornhub",7,"12–2pm",0.0893840436687839,0.08689147037068,FALSE
"short",-0.0618024271274597,0.00539609102054685,-0.0727359460831108,-0.0508689081718086,0.100382672313499,-0.615668279226998,-0.724586668264353,-0.506749890189642,"Pornhub",8,"2–4pm",0.110045175978979,0.099494247026778,FALSE
"long",-0.0721714238919754,0.00787475560574294,-0.088127194348528,-0.0562156534354229,0.101577976962036,-0.710502670465163,-0.867581704068243,-0.553423636862083,"Pornhub",8,"2–4pm",0.110045175978979,0.099494247026778,FALSE
"short",-0.0518562645545331,0.00726552638392739,-0.0665776193535859,-0.0371349097554803,0.104940750376754,-0.494148025131902,-0.634430563099286,-0.353865487164518,"Pornhub",9,"4–6pm",0.111039007643632,0.1022852246042,FALSE
"long",-0.060913781565708,0.00704753128682395,-0.0751934363420325,-0.0466341267893835,0.104118367165663,-0.585043573232263,-0.722191851341582,-0.447895295122944,"Pornhub",9,"4–6pm",0.111039007643632,0.1022852246042,FALSE
"short",-0.0633242025935122,0.0073758911415452,-0.0782691776326343,-0.0483792275543902,0.0994512099244183,-0.636736371952014,-0.787010813564942,-0.486461930339086,"Pornhub",10,"6–8pm",0.105295318524544,0.100060967364836,FALSE
"long",-0.0732273723710319,0.00974316075274217,-0.0929688912543191,-0.0534858534877447,0.103981393824777,-0.704235341319142,-0.894091604609422,-0.514379078028861,"Pornhub",10,"6–8pm",0.105295318524544,0.100060967364836,FALSE
"short",-0.0682884416741024,0.00915626209674058,-0.0868407909240373,-0.0497360924241676,0.115624306350876,-0.590606281925472,-0.75105999477747,-0.430152569073474,"Pornhub",11,"8–10pm",0.113090467589325,0.113662920827975,FALSE
"long",-0.0777569787457615,0.0122815607384199,-0.102641784548182,-0.0528721729433408,0.116839707788696,-0.665501311304068,-0.878483749153234,-0.452518873454902,"Pornhub",11,"8–10pm",0.113090467589325,0.113662920827975,FALSE
