pages,period,count,share
1.0,pre,254516,0.4144071094438176
2.0,pre,76164,0.1240114691558838
3.0,pre,53519,0.0871405101853073
4.0,pre,39210,0.06384236260703487
5.0,pre,30020,0.048879054462208284
6.0,pre,23396,0.03809374944030063
7.0,pre,18940,0.030838417438848263
8.0,pre,15288,0.02489217137302599
9.0,pre,12602,0.02051878228956525
10.0,pre,10445,0.0170067196488263
11.0,pre,8916,0.014517176868256132
12.0,pre,7476,0.012172545341754468
13.0,pre,6524,0.010622483388122814
14.0,pre,5560,0.009052882838436978
15.0,pre,4847,0.007891964589551085
16.0,pre,4292,0.006988304522045235
17.0,pre,3796,0.00618070921847244
18.0,pre,3284,0.005347062453494071
19.0,pre,2965,0.0048276614417204385
20.0,pre,2623,0.004270811454176293
21.0,pre,2331,0.0037953722835245675
22.0,pre,2102,0.003422510742157289
23.0,pre,1997,0.0032515480266832094
24.0,pre,1769,0.0028803147016537795
25.0,pre,1611,0.002623056520273736
26.0,pre,1377,0.0022420538972172154
27.0,pre,1276,0.0020776040470945295
28.0,pre,1126,0.0018333715964172729
29.0,pre,1064,0.0017324221834706733
30.0,pre,983,0.001600536660104955
31.0,pre,858,0.0013970096178739077
32.0,pre,787,0.0012814062578866729
33.0,pre,774,0.001260239445494644
34.0,pre,674,0.0010974178117098062
35.0,pre,657,0.0010697381339663838
36.0,pre,556,0.0009052882838436978
37.0,pre,502,0.0008173646015998854
38.0,pre,521,0.0008483007120190046
39.0,pre,504,0.0008206210342755822
40.0,pre,430,0.0007001330252748022
41.0,pre,397,0.0006464018861258058
42.0,pre,345,0.0005617346365576902
43.0,pre,356,0.0005796450162740223
44.0,pre,342,0.000556849987544145
45.0,pre,298,0.0004852084686788164
46.0,pre,298,0.0004852084686788164
47.0,pre,252,0.0004103105171377911
48.0,pre,257,0.00041845159882703296
49.0,pre,232,0.0003777461903808235
50.0,pre,225,0.0003663486760158849
51.0,pre,227,0.0003696051086915816
52.0,pre,181,0.0002947071571505563
53.0,pre,207,0.0003370407819346141
54.0,pre,177,0.00028819429179916277
55.0,pre,167,0.000271912128420679
56.0,pre,153,0.0002491170996908017
