yyyymm,state,period,n_sessions,n_pages_eq_1,share_pages_eq_1
202201,AL,pre,902.0,353.0,0.39135254988913526
202201,AR,pre,414.0,154.0,0.3719806763285024
202201,AZ,pre,889.0,376.0,0.4229471316085489
202201,FL,pre,3511.0,1311.0,0.3733978923383651
202201,GA,pre,2003.0,787.0,0.3929106340489266
202201,ID,pre,259.0,124.0,0.47876447876447875
202201,IN,pre,1255.0,552.0,0.4398406374501992
202201,KS,pre,301.0,159.0,0.5282392026578073
202201,KY,pre,652.0,262.0,0.401840490797546
202201,LA,pre,909.0,414.0,0.45544554455445546
202201,MO,pre,1820.0,781.0,0.4291208791208791
202201,MS,pre,668.0,271.0,0.405688622754491
202201,MT,pre,289.0,128.0,0.4429065743944637
202201,NC,pre,1773.0,720.0,0.40609137055837563
202201,ND,pre,204.0,91.0,0.44607843137254904
202201,NE,pre,474.0,185.0,0.39029535864978904
202201,OH,pre,2040.0,847.0,0.4151960784313726
202201,OK,pre,843.0,343.0,0.4068801897983393
202201,SC,pre,827.0,292.0,0.35308343409915355
202201,SD,pre,74.0,16.0,0.21621621621621623
202201,TN,pre,1245.0,486.0,0.39036144578313253
202201,TX,pre,4167.0,1665.0,0.39956803455723544
202201,UT,pre,303.0,119.0,0.3927392739273927
202201,VA,pre,1651.0,544.0,0.32949727437916415
202201,WY,pre,63.0,25.0,0.3968253968253968
202202,AL,pre,846.0,364.0,0.4302600472813239
202202,AR,pre,327.0,158.0,0.4831804281345566
202202,AZ,pre,1025.0,415.0,0.40487804878048783
202202,FL,pre,3099.0,1200.0,0.3872216844143272
202202,GA,pre,1720.0,714.0,0.41511627906976745
202202,ID,pre,149.0,61.0,0.40939597315436244
202202,IN,pre,999.0,462.0,0.4624624624624625
202202,KS,pre,341.0,180.0,0.5278592375366569
202202,KY,pre,609.0,263.0,0.4318555008210181
202202,LA,pre,735.0,363.0,0.49387755102040815
202202,MO,pre,1541.0,648.0,0.42050616482803377
