"label","type","percentile","threshold_sec","beta_short","se_short","ci_lo_short","ci_hi_short","beta_long","se_long","ci_lo_long","ci_hi_long","baseline_short","baseline_long"
"mw_p95","machine-week",0.95,5585.8,-0.590067886205597,0.0437216291616436,-0.675762279362419,-0.504373493048776,-0.683247134962405,0.048890884914945,-0.779073269395697,-0.587421000529112,1.11188809161967,1.10324705564804
"mw_p96","machine-week",0.96,6448.84,-0.610148924365036,0.0463117821503093,-0.700920017379642,-0.51937783135043,-0.703812234142476,0.051758850132571,-0.805259580402315,-0.602364887882637,1.14867712950742,1.13967103414467
"mw_p97","machine-week",0.97,7771.76,-0.632384576229549,0.0502077659248724,-0.730791797442299,-0.533977355016799,-0.726465066005282,0.0559194877620952,-0.836067262018988,-0.616862869991575,1.19226051131587,1.18298376176696
"mw_p98","machine-week",0.98,9998,-0.659146095662498,0.0549640279138933,-0.766875590373729,-0.551416600951267,-0.753394146697005,0.062182468864229,-0.875271785670894,-0.631516507723116,1.24345266889731,1.2340803840761
"mw_p99","machine-week",0.99,14329.96,-0.688112776490814,0.0601652090779793,-0.806036586283654,-0.570188966697975,-0.782404575971408,0.069760293656407,-0.919134751537965,-0.64567440040485,1.30123085328155,1.29245571514703
"mw_p99_5","machine-week",0.995,20548.6200000001,-0.702488504045127,0.0633952998474308,-0.826743291746091,-0.578233716344162,-0.795419816897968,0.0741501426660033,-0.940754096523335,-0.650085537272602,1.34273759666038,1.33444551197766
"sess_p95","session",0.95,1762,-0.628240646649317,0.0503241649992939,-0.726876010047933,-0.529605283250701,-0.698168120297222,0.061208385832687,-0.818136556529288,-0.578199684065155,1.19043562664666,1.18000320179558
"sess_p96","session",0.96,1996,-0.643707565815902,0.0525336904487802,-0.746673599095512,-0.540741532536293,-0.714036243510928,0.0631706710320293,-0.837850758733706,-0.590221728288151,1.2236831587232,1.21295488700441
"sess_p97","session",0.97,2323,-0.660965611964821,0.0551174933404361,-0.768995898912076,-0.552935325017566,-0.731824651838722,0.0654369519734423,-0.860081077706669,-0.603568225970775,1.25999263496912,1.24882050509964
"sess_p98","session",0.98,2824,-0.678267570726576,0.0579843197832899,-0.791916837501824,-0.564618303951328,-0.749936693915867,0.0681308778281591,-0.883473214459058,-0.616400173372675,1.29970799075153,1.2878581264709
"sess_p99","session",0.99,3795,-0.695893308444365,0.0609745345155874,-0.815403396094916,-0.576383220793814,-0.769936962020795,0.0715494793887721,-0.910173941622788,-0.629699982418801,1.34454159946818,1.33269666661487
"sess_p99_5","session",0.995,4852,-0.703579125550197,0.0622591798694338,-0.825607118094287,-0.581551133006107,-0.779589630753956,0.0735163938504802,-0.923681762700897,-0.635497498807015,1.36845546139332,1.35696764110822
