rank,category,session_count,total_hours,machines_visiting,share_of_machines,mean_minutes,median_minutes,p90_minutes,p99_minutes,max_minutes
1,Multi-Category,18069528,794207.3219444444,262330,95.39480861400612,2.6371712264242135,0.7833333333333333,5.3,33.13333333333333,1440.1333333333334
2,Services,2172892,70969.05638888889,163344,59.39911416249082,1.9596663724351389,0.0,2.3,30.233333333333334,1440.05
3,Promotional Servers,1978072,82274.50972222222,161840,58.85219313875939,2.495597017365057,0.7166666666666667,3.6666666666666665,29.566666666666666,1441.0666666666666
4,Social Media,1299743,59446.25555555556,83853,30.492665294515515,2.7442158436962796,1.2166666666666666,5.2,25.233333333333334,1425.0166666666667
5,Corporate Presence,1218221,88415.31527777777,134042,48.74360895146803,4.354644121769914,0.9333333333333333,8.816666666666666,53.93333333333333,1440.4333333333334
6,Retail,1181347,82348.2475,101818,37.02553510258406,4.182424681317174,1.1166666666666667,10.3,46.43333333333333,1440.5833333333333
7,XXX Adult,1102648,109543.03611111111,42113,15.314152308777645,5.960725604786537,1.1166666666666667,12.933333333333334,75.03333333333333,1439.5666666666666
8,Media,502122,16797.095833333333,53952,19.61933714917416,2.0071332265863675,0.4666666666666667,3.283333333333333,21.783333333333335,1362.6333333333334
9,Social Networking,501626,24778.83638888889,68553,24.928907539800868,2.963822017465868,1.3,5.816666666666666,30.0,1439.0333333333333
10,Online Gaming,487475,20926.59222222222,52042,18.924776540579067,2.5757126690257617,0.0,3.1,44.737666666666826,1439.25
11,Entertainment,458170,43706.92055555555,66364,24.13289017214921,5.723672945267769,1.0,10.016666666666667,79.66666666666667,1440.0166666666667
12,Technology,428413,40520.93361111111,94444,34.34402205139021,5.675028574451911,1.2333333333333334,10.0,70.16466666666675,1441.4
13,Banking,415350,33983.60722222222,50669,18.425492919845524,4.90915236146222,2.1166666666666667,11.133333333333333,39.63333333333333,1438.4833333333333
14,Entertainment - Music,363135,7569.495,56937,20.704815377790062,1.2506910653062908,0.0,2.0,15.016666666666667,1439.35
15,Gaming Information,345371,13803.781944444445,41942,15.251969133872013,2.398078925754237,0.4166666666666667,4.366666666666666,31.933333333333334,1440.1666666666667
16,Taxes,326850,38287.83222222222,41567,15.115602522236848,7.028514405180767,2.0,18.35,59.45,766.1833333333333
17,Games,312594,39300.07166666666,40895,14.871233554186636,7.5433447219076495,1.0,15.85,101.7,1439.7333333333333
18,Government,296554,27772.208333333332,70354,25.583830919947342,5.618985075230818,2.0,12.15,52.06666666666667,1434.6166666666666
19,Education,283977,29898.669166666667,46464,16.896368648043232,6.317131845184645,1.7833333333333334,14.55,72.98333333333333,1440.9833333333333
20,Business to Business,205519,52320.14333333333,35728,12.992283468002938,15.274542013147201,2.25,32.88333333333333,213.63033333333345,1440.0666666666666
21,Education - Information,201129,19507.596388888887,28809,10.476228572259759,5.819428244227999,1.3666666666666667,13.133333333333333,75.29533333333335,1369.1833333333334
22,Reference,195318,10297.81111111111,47335,17.2131028313345,3.1633984920317975,1.3,6.766666666666667,31.94716666666645,1436.25
23,News/Information,191826,9020.977777777778,31420,11.425703833538186,2.8216126420123797,0.8166666666666667,4.283333333333333,30.1,1323.3
24,Lifestyles,186638,9751.75861111111,50355,18.311308610369682,3.1349752819182943,1.0,5.183333333333334,36.31666666666667,1437.0166666666667
25,Downloads,172783,9018.348333333333,44873,16.317810570412444,3.1316790424983942,0.7333333333333333,4.433333333333334,29.136333333333216,1438.8833333333334
26,Training and Higher Advancement,162247,20207.629722222224,19938,7.250340007418343,7.472913418019029,2.5833333333333335,19.166666666666668,60.26800000000027,908.7333333333333
27,Career Resources,150356,8007.525,20698,7.526709673665607,3.195426188512597,0.9666666666666667,8.216666666666667,30.0,1437.6
28,Search/Navigation,148839,7203.406666666667,28008,10.184949489807051,2.903838375694542,0.95,8.920000000000194,31.12699999999992,376.55
29,Department Stores/Malls,140345,8960.783333333333,34995,12.725732197793407,3.8308952937404253,1.25,9.8,39.5,1003.8
30,General News,137704,4081.827222222222,24545,8.925649286893531,1.7785222893549448,0.6166666666666667,3.1333333333333333,18.633333333333333,940.5333333333333
