state,day_passed,day_effective,original_day_effective
AL,24Apr2024,01Oct2024,
AK,,,
AZ,13May2025,26Sep2025,
AR,11Apr2023,31Jul2023,
CA,,,
CO,,,
CT,,,
DE,,,
DC,,,
FL,25Mar2024,01Jan2025,
GA,23Apr2024,01Jul2025,
HI,,,
ID,21Mar2024,01Jul2024,
IL,,,
IN,13Mar2024,16Aug2024,01Jul2024
IA,,,
KS,25Apr2024,01Jul2024,
KY,05Apr2024,15Jul2024,
LA,15Jun2022,01Jan2023,
ME,,,
MD,,,
MA,,,
MI,,,
MN,,,
MS,18Apr2023,01Jul2023,
MO,15May2025,30Nov2025,
MT,22May2023,01Jan2024,
NE,18Apr2024,18Jul2024,
NV,,,
NH,,,
NJ,,,
NM,,,
NY,,,
NC,29Sep2023,01Jan2024,
ND,14Apr2025,01Aug2025,
OH,30Jun2025,30Sep2025,
OK,26Apr2024,01Nov2024,
OR,,,
PA,,,
RI,,,
SC,29May2024,01Jan2025,
SD,27Feb2025,01Jul2025,
TN,31May2024,13Jan2025,01Jan2025
TX,12Jun2023,19Sep2023,01Sep2023
US,,,
UT,14Mar2023,03May2023,
VT,,,
VA,12May2023,01Jul2023,
WA,,,
WV,,,
WI,,,
WY,13Mar2025,01Jul2025,
